date,log_return,realized_var_proxy,parkinson_var_proxy,ewma_forecast_variance,garch_forecast_variance,egarch_forecast_variance,gjr_garch_forecast_variance,ewma_rmse,garch_rmse,egarch_rmse,gjr_garch_rmse,ewma_weight,garch_weight,egarch_weight,gjr_garch_weight,static_ensemble_variance,static_ensemble_volatility
2022-01-03,0.0261532373286678,0.0006839918227696,0.0002593227046452,0.0001544258404647,0.0001508164256393,0.0001745276660448,0.0001892472246609,0.00029105883516329265,0.00029312263021491095,0.00029622807487994014,0.00030005553448944866,0.2534516549090942,0.2516671721796565,0.24902887235772014,0.24585230055352922,0.00016708432161200622,0.0129261100727174
2022-01-04,0.0114179608878343,0.0001303698308361,7.085076580084697e-05,0.000186199799403,0.0002015545276766,0.0001763593685677,0.0001899418243866,0.0002989026644704895,0.0003009645148193134,0.00030331961519437957,0.00030669284683649243,0.2529604878777225,0.25122750393945836,0.24927686850700997,0.2465351396758092,0.00018852687832946396,0.013730509033880133
2022-01-05,0.0229631106764067,0.0005273044519369,0.0003170219148052,0.000182850001289,0.0001954768582721,0.000166235385252,0.0001788369437889,0.00029893121517475367,0.00030100339020668,0.0003032555559053096,0.0003067161248749848,0.2529420595994828,0.25120074957614325,0.2493351754732171,0.2465220153511569,0.00018088996200029526,0.013449533895280358
2022-01-06,-0.0054704582679251,2.9925913661110157e-05,0.0001241799910288,0.0002035172683279,0.0002269081863555,0.0001660944453953,0.0001771606333154,0.000302041768757556,0.0003037922520688977,0.0003065577140448832,0.00030980113911559736,0.2528789984784303,0.2514218827567137,0.2491538019848412,0.24654531678001484,0.00019357611343473233,0.013913163315175033
2022-01-07,0.006629160386206,4.394576742604392e-05,0.0001263242461952,0.0001931017870479,0.0002088028046149,0.000164409890697,0.0001683814693089,0.0003025399490940074,0.00030459247864956515,0.00030680670079484475,0.00031009100696640984,0.25284428848609863,0.25114046973990833,0.2493279904549599,0.2466872513190331,0.000183793067880792,0.013557030201367554
2022-01-10,0.0159897244772088,0.000255671288857,5.493387451393945e-05,0.0001841524258706,0.0001939274063357,0.0001519386972151,0.0001574133780255,0.00030309011184297954,0.0003052234063185095,0.00030712404737679794,0.000310449256215712,0.25276963854951784,0.2510029585953053,0.24944962360596523,0.2467777792492115,0.00017197166955304,0.013113796915959923
2022-01-11,0.0024560959098503,6.032407118383583e-06,5.5068054747988595e-05,0.0001884435576498,0.0002002982028973,0.0001476050339827,0.000151935178707,0.0003030920597725708,0.00030512395251687893,0.0003072655929754496,0.00031057880115836826,0.2528028139108587,0.251119340033803,0.24936903882585443,0.24670880722948385,0.0001722296863238952,0.013123630836163261
2022-01-12,0.0073954435386898,5.4692585133949856e-05,1.465294082307754e-05,0.0001774988886179,0.0001828075777929,0.0001340751337598,0.0001416652292092,0.00030226537050109575,0.0003046065186721922,0.0003061112991979313,0.00030943912119736427,0.25274434306016197,0.250801797775545,0.24956890744414634,0.24688495172014674,0.00015914630707669004,0.012615320331909532
2022-01-13,-0.0066738326329933,4.454004201320679e-05,2.8292768314093217e-05,0.0001701305104088,0.0001716983857653,0.0001253723644918,0.0001333646497123,0.000302674781619173,0.00030501681760039534,0.0003062823942467753,0.0003096425808056844,0.25265028974131865,0.25071034402325787,0.24967439431683733,0.24696497191858616,0.00015026875025176832,0.012258415486993754
2022-01-14,-0.002591138480017,6.713998622625222e-06,4.7847821656650546e-05,0.0001625950823051,0.0001608293662421,0.0001300253721256,0.0001305002716955,0.000302947949555044,0.0003051948987122087,0.00030635018809465595,0.0003097480522713044,0.2525521478403362,0.2506927726079045,0.24974737511932624,0.24700770443243306,0.00014609056493102989,0.012086792996118942
