asset,model,target,MAE,RMSE,QLIKE
adanient,EGARCH,parkinson_var_proxy,0.0010068619767732,0.0038417459746059,2.5994066156500635
adanient,EWMA,parkinson_var_proxy,0.0010158342482688,0.0042359311666931,2.1280709533653286
adanient,GARCH,parkinson_var_proxy,0.0009902102139151,0.0035600444825001,2.731862650806511
adanient,GJR-GARCH,parkinson_var_proxy,0.0009941615599636,0.0032914544656281,2.7620953906494976
adanient,STATIC_INVERSE_RMSE,parkinson_var_proxy,0.0009587671891240471,0.003631661388422688,2.4655532032130343
adanient,EGARCH,realized_var_proxy,0.0014387020655626,0.0056301898594224,573.8891012418436
adanient,EWMA,realized_var_proxy,0.001433283682602,0.0057797804058778,602.8853643059565
adanient,GARCH,realized_var_proxy,0.0014748439475266,0.0055788430712209,634.2315783079731
adanient,GJR-GARCH,realized_var_proxy,0.0015014975726872,0.0056356089860563,669.0991468750808
adanient,STATIC_INVERSE_RMSE,realized_var_proxy,0.0014400585107549877,0.005589243067872048,612.8910157589377
banknifty,EGARCH,parkinson_var_proxy,8.033256165466818e-05,0.0001496393759381,1.3474677621554618
banknifty,EWMA,parkinson_var_proxy,7.327802627271335e-05,0.0001499072082927,1.0898468258481964
banknifty,GARCH,parkinson_var_proxy,8.225313470698531e-05,0.0001539464853506,1.4096967801195637
banknifty,GJR-GARCH,parkinson_var_proxy,8.475647825964112e-05,0.0001598633189365,1.4605922726597584
banknifty,STATIC_INVERSE_RMSE,parkinson_var_proxy,7.926776954936066e-05,0.00015159930856524818,1.3046195719403604
banknifty,EGARCH,realized_var_proxy,0.0001261248900663,0.0003127975300965,1717.425911582553
banknifty,EWMA,realized_var_proxy,0.0001220315007573,0.0003144358164763,1538.1076074834118
banknifty,GARCH,realized_var_proxy,0.000129120743623,0.0003141038271229,1895.755654196848
banknifty,GJR-GARCH,realized_var_proxy,0.0001305473787102,0.0003168348068102,1624.8632889115495
banknifty,STATIC_INVERSE_RMSE,realized_var_proxy,0.0001262206106737768,0.0003136859051672394,1686.3974339520407
dlf,EGARCH,parkinson_var_proxy,0.0004980975341677,0.0008654191640291,2.113131037076008
dlf,EWMA,parkinson_var_proxy,0.0002839289503959,0.0007858119446435,0.766587791117548
dlf,GARCH,parkinson_var_proxy,0.0005107236958783,0.0008586014374411,2.2597435951191436
dlf,GJR-GARCH,parkinson_var_proxy,0.000501498548272,0.0008645246180389,2.17151523645043
dlf,STATIC_INVERSE_RMSE,parkinson_var_proxy,0.0004243861563279245,0.0008210327536523068,1.674261507072804
dlf,EGARCH,realized_var_proxy,0.0006381219316086,0.0009475578973216,590.4487871159913
dlf,EWMA,realized_var_proxy,0.0004553973289932,0.0009092057356195,274.0296922084339
dlf,GARCH,realized_var_proxy,0.0006541037035239,0.0009553709410192,643.4245124890184
dlf,GJR-GARCH,realized_var_proxy,0.0006439513107137,0.0009514171726934,623.0503392516013
dlf,STATIC_INVERSE_RMSE,realized_var_proxy,0.0005776122011155481,0.0009210296675274716,498.01124969864725
hindunilvr,EGARCH,parkinson_var_proxy,0.0001144970668962,0.0001952714233611,0.7736634107416356
hindunilvr,EWMA,parkinson_var_proxy,0.0001128757638707,0.0001997284702296,0.6681610457359131
hindunilvr,GARCH,parkinson_var_proxy,0.0001165475706791,0.0001958203315597,0.8193941069308215
hindunilvr,GJR-GARCH,parkinson_var_proxy,0.0001198052477305,0.0001991806266627,0.8679703421807236
hindunilvr,STATIC_INVERSE_RMSE,parkinson_var_proxy,0.0001149433767172317,0.0001964251109578516,0.7708565337762936
hindunilvr,EGARCH,realized_var_proxy,0.0001880059692132,0.0003769591787693,1080.5695450132207
hindunilvr,EWMA,realized_var_proxy,0.000183922040697,0.0003800785517994,1263.5829589660773
hindunilvr,GARCH,realized_var_proxy,0.0001893421856233,0.0003775277838629,1077.2633279205502
hindunilvr,GJR-GARCH,realized_var_proxy,0.0001921455110136,0.0003785307890682,1016.8249975433996
hindunilvr,STATIC_INVERSE_RMSE,realized_var_proxy,0.00018784236270988372,0.00037774174506006433,1108.9486349248295
nestleind,EGARCH,parkinson_var_proxy,0.0001131962425779,0.0001759919762033,0.6710010564715301
nestleind,EWMA,parkinson_var_proxy,9.801431976943551e-05,0.0001752389069492,0.44545139701441
nestleind,GARCH,parkinson_var_proxy,0.0001123399475141,0.0001747250106264,0.6722636852521038
nestleind,GJR-GARCH,parkinson_var_proxy,0.0001138951523617,0.0001759244654991,0.69089057946901
nestleind,STATIC_INVERSE_RMSE,parkinson_var_proxy,0.0001078473485303294,0.0001741144862792356,0.605845758007388
