date,log_return,realized_var_proxy,parkinson_var_proxy,ewma_forecast_variance,garch_forecast_variance,egarch_forecast_variance,gjr_garch_forecast_variance,ewma_rmse,garch_rmse,egarch_rmse,gjr_garch_rmse,ewma_weight,garch_weight,egarch_weight,gjr_garch_weight,static_ensemble_variance,static_ensemble_volatility
2022-01-03,0.0155320663316478,0.0002412450845307,8.15412183293709e-05,9.585452107123748e-05,8.448991344860987e-05,9.024237767810008e-05,8.721631687399432e-05,0.00014893209886957692,0.00014882491436173393,0.0001474760046791549,0.00015054899225033034,0.25000914688409104,0.2501892048231797,0.2524775950029716,0.24732405328975773,8.945784278508691e-05,0.009458215623736166
2022-01-04,0.0101353377336508,0.0001027250709751,6.299046267777747e-05,0.0001045779548788,0.0001009209013038,8.36454514400941e-05,8.005842197821608e-05,0.00014993695311556662,0.00015009972943089194,0.00014857381382843519,0.00015168720682253218,0.25021569828111306,0.2499443507606533,0.2525113844440722,0.24732856651416144,9.231381865021353e-05,0.00960800804798859
2022-01-05,0.0067169757589339,4.5117763346106914e-05,4.343593911256433e-05,0.0001044667818445,0.0001013203321136,7.698874497014512e-05,7.375378281775118e-05,0.00014991481801299633,0.0001500992421286571,0.00014858934036229967,0.0001517122081347783,0.25025999754400363,0.24995250779203834,0.25249241901380204,0.24729507565015604,8.914714942570063e-05,0.00944177681507568
2022-01-06,-0.0100558080531172,0.0001011192756011,2.32740212474313e-05,0.0001009058407346,9.585179539701906e-05,7.06108723643511e-05,6.820068717878099e-05,0.00015010109759912518,0.00015022517508756343,0.0001486270031488794,0.00015173433669430326,0.25010452309629677,0.24989795092186096,0.2525850796685659,0.24741244631327633,8.389912611321979e-05,0.009159646615084002
2022-01-07,0.0037571168401497,1.4115926950536603e-05,4.571507736639733e-05,0.0001009186468266,9.671870816406796e-05,8.746574190716959e-05,8.105365141553326e-05,0.00015001777872974156,0.00015006252784409007,0.00014858377264877982,0.00015168933235038375,0.2501042075960323,0.25002962574041815,0.2525180038550262,0.2473481628085233,9.155786691924126e-05,0.009568587509096694
2022-01-10,0.0106434756439645,0.0001132835737836,2.141456293098256e-05,9.57104836340981e-05,8.869057731459892e-05,7.939824432012851e-05,7.463037608330567e-05,0.00015035624777896085,0.00015029412299945392,0.00014880023867326346,0.00015183770925322884,0.24993042475284816,0.2500337346642404,0.2525439556192884,0.24749188496362315,8.461855724570076e-05,0.00919883455910045
2022-01-11,0.0029090757855369,8.462721925997276e-06,1.5160948729481456e-05,9.676486904307216e-05,9.167563000336255e-05,7.330669931086725e-05,6.897278628350211e-05,0.0001502556600576105,0.00015026282688641702,0.00014874545320145603,0.0001518225291403983,0.25001344652592367,0.25000152206258364,0.2525518234171009,0.24743320799439175,8.26914638030622e-05,0.009093484689768944
2022-01-12,0.0086357203311153,7.457566563723864e-05,1.072947157154741e-05,9.146674021604764e-05,8.370295870880034e-05,6.682874833364999e-05,6.398960858614131e-05,0.0001505550290679256,0.00015057837565203276,0.00014881746145316724,0.00015188649105082552,0.24982795467382599,0.24978921983337593,0.25274490379433745,0.24763792169846066,7.649592463132825e-05,0.008746194865844704
2022-01-13,0.0024925148330414,6.212630192931751e-06,1.2781074376410031e-05,9.045327574131908e-05,8.339804920225173e-05,6.187315305229275e-05,5.960044980731503e-05,0.0001505665803656728,0.00015058033211511607,0.00014880094509769852,0.00015188076446904066,0.2498050463708553,0.24978223292397875,0.2527691713614643,0.24764354934370164,7.382632825151197e-05,0.008592224872028896
2022-01-14,-0.0001123298725145,1.2618000259143822e-08,3.046535306548237e-05,8.539883700841582e-05,7.62263319821419e-05,5.6672998720487735e-05,5.5734500010919223e-05,0.0001508774305562941,0.0001507489572744703,0.00014893740270914882,0.00015198721922239246,0.2495896638866762,0.24980237251039447,0.25284076729986893,0.24776719630306027,6.84946108888785e-05,0.008276147104110614
