date,log_return,realized_var_proxy,parkinson_var_proxy,ewma_forecast_variance,garch_forecast_variance,egarch_forecast_variance,gjr_garch_forecast_variance,ewma_rmse,garch_rmse,egarch_rmse,gjr_garch_rmse,ewma_weight,garch_weight,egarch_weight,gjr_garch_weight,static_ensemble_variance,static_ensemble_volatility
2022-01-03,-0.0014091691723384,1.985757756269125e-06,2.8695792742321307e-05,8.708271381267317e-05,0.0001437322430894,0.0001211967866477,0.0001391536859813,0.00017317198190354533,0.0001818741401556435,0.00018025265995828712,0.00018012014266878266,0.25811142591669245,0.24576153124183883,0.2479723028125487,0.24815474002892005,0.00012238599263262627,0.011062820283843821
2022-01-04,0.0106706735792171,0.0001138632746342,9.41788453021445e-05,8.197689644928891e-05,0.000138345023683,0.000113712735794,0.0001348341807446,0.00017343091008991171,0.00018277858289067112,0.00018090304195710633,0.00018098236048114222,0.2586767600819608,0.24544749833714768,0.24799221414287498,0.2478835274380165,0.00011678500341344658,0.010806711035900172
2022-01-05,0.0023452103989617,5.5000118153984155e-06,3.48580325550623e-05,8.389007914038368e-05,0.0001420093876093,0.0001179715035954,0.0001363740520668,0.00017318439741037663,0.00018226933767416452,0.00018018957633881378,0.00018036900406006272,0.2583013555300505,0.2454267139968654,0.24825944717047083,0.2480124833026131,0.00011963182609073212,0.01093763347761901
2022-01-06,-0.0145619146676855,0.0002120493587889,0.0001487303649381,7.918667510088455e-05,0.0001371152750508,0.0001109597408391,0.0001324795614838,0.00017301730338198297,0.00018234905645462326,0.00017977237526675452,0.0001802698477158268,0.2583300136664164,0.2451099183960761,0.24862308394642305,0.2479369839910844,0.00011449834461563441,0.01070038992820516
2022-01-07,0.0129102883602644,0.0001666755455451,0.0001283140933077,8.715843612216873e-05,0.0001482534036537,0.0001339329490218,0.0001491806360028,0.00017359379393180275,0.000182064700615939,0.00017955226009586946,0.00017992777807520092,0.2573946235015127,0.2454188487944808,0.24885294792400917,0.2483335797799973,0.00012919446306586382,0.0113663742268968
2022-01-10,-0.0098382517386689,9.679119727342252e-05,7.710715865006186e-05,9.192946268754932e-05,0.0001545173457208,0.0001398623570212,0.0001514691697307,0.000172000232052587,0.00018086306568303252,0.0001785038453330375,0.00017881422639921804,0.2579675592080557,0.2453263737306407,0.2485687631156759,0.24813730394562772,0.00013397256371204406,0.011574651774979844
2022-01-11,0.0027336603604454,7.472898966270779e-06,7.037411008118419e-05,9.222116676270168e-05,0.0001547376606066,0.0001498114775035,0.0001547077478192,0.00017164954491451622,0.0001802748282587281,0.0001777998864271292,0.00017821776699879541,0.25768491094844725,0.2453559275183895,0.2487712370601922,0.24818792447297114,0.00013739518680046272,0.011721569297686326
2022-01-12,-0.0027794170863912,7.725159340123496e-06,3.336371303421908e-05,8.713627069491578e-05,0.0001482799375142,0.0001394888059178,0.000148601498014,0.00017147216538682298,0.00018029033787551088,0.00017768519720421603,0.00017823369912061435,0.25785249849478925,0.24524068670742535,0.24883629566782467,0.24807051912996075,0.00013040610731665514,0.011419549348229778
2022-01-13,0.0003702895101027,1.3711432129212278e-07,2.0963886070339316e-05,8.237160401362823e-05,0.0001427087993913,0.0001328155943531,0.0001436444310687,0.00017158027994005842,0.00018068075438891062,0.00017800315811356676,0.00017862859916774004,0.25812504077938836,0.24512387556859086,0.24881112911609005,0.2479399545359307,0.00012490469933334995,0.011176077099472334
2022-01-14,-0.016068537243623,0.0002581978891497,0.0001916424081009,7.743753463208807e-05,0.0001373215091033,0.0001214679714215,0.0001385756566544,0.0001715896460328473,0.0001809002145527566,0.0001781604008212654,0.00017886415532995578,0.25833249389520674,0.24503664241555623,0.24880490267156088,0.24782596101767623,0.00011821790505598409,0.010872805758220097
