date,log_return,realized_var_proxy,parkinson_var_proxy,ewma_forecast_variance,garch_forecast_variance,egarch_forecast_variance,gjr_garch_forecast_variance,ewma_rmse,garch_rmse,egarch_rmse,gjr_garch_rmse,ewma_weight,garch_weight,egarch_weight,gjr_garch_weight,static_ensemble_variance,static_ensemble_volatility
2022-01-03,0.0004870642503756,2.3723158399398185e-07,4.028624087227235e-05,0.0001160406662269,0.0001476740118042,0.0001354891393684,0.0001505123147481,0.0002840017606139811,0.0002826460865199753,0.00028359003121602354,0.00028691008239142054,0.25024326698102206,0.25144352529141467,0.2506065819720859,0.24770662575547742,0.00013740743727360037,0.011722091847174734
2022-01-04,0.0167771726715348,0.0002814735228504,0.000176934171443,0.0001090924601483,0.0001414153762993,0.0001247771175181,0.0001442154910379,0.0002842914969567053,0.000283117684271248,0.0002839247199182093,0.0002873849828538822,0.25033334529228757,0.2513712333247975,0.2506567286280167,0.24763869275489822,0.00012984679780688672,0.011395033909861204
2022-01-05,0.0060410517356161,3.6494306072390624e-05,4.8848267747810045e-05,0.0001194353239104,0.0001518646096669,0.0001369859980492,0.0001490341695668,0.0002849378977584129,0.0002833695075969941,0.00028425050692683525,0.00028758205643396935,0.25007761184972266,0.25146173842474573,0.2506823638321442,0.24777828589338743,0.00013932364420373014,0.011803543713806042
2022-01-06,-0.0101515689011203,0.0001030543511541,0.0001239385903884,0.0001144588628401,0.0001471750314885,0.0001333512931231,0.0001442470843953,0.0002851389589228481,0.00028375119109894364,0.00028452066510342234,0.0002879333562156236,0.25016517881769657,0.25138868446882684,0.2507088144929551,0.24773732222052144,0.00013479949047842015,0.01161031827636177
2022-01-07,0.0102963730132843,0.0001060152972286,7.166609460300588e-05,0.000113774592139,0.0001468152162345,0.0001395191855486,0.0001466974140467,0.0002847407012955431,0.0002832479157833257,0.00028384489125189856,0.00028736907700472073,0.25004501519836814,0.2513628133366458,0.250834153361081,0.24775801810390502,0.0001366942927638053,0.011691633451481675
2022-01-10,-0.0037731676354159,1.4236794004950233e-05,3.275534566543377e-05,0.0001133090344444,0.0001466657088455,0.0001415230824744,0.0001447478881973,0.0002847278712920473,0.00028329688524063757,0.00028387451510719137,0.0002874156642048285,0.25008091967067186,0.2513441256090939,0.2508326888086477,0.24774226591158652,0.0001365587770009194,0.011685836598246587
2022-01-11,-0.0014137308714768,1.998634976966816e-06,4.312727019767178e-05,0.000107364700018,0.0001413203201293,0.0001357579252316,0.0001402159750973,0.00028501363704557236,0.00028380367628816046,0.00028432640716262447,0.0002878967025584078,0.2502085374317839,0.25127526960178753,0.25081330286883124,0.24770289009759736,0.00013115566199141816,0.011452321249048953
2022-01-12,0.0039446478231844,1.556024644895362e-05,1.9061280817339328e-05,0.0001010427361155,0.0001359054052126,0.0001266829581121,0.0001352517299334,0.0002849549276156564,0.00028380061930662786,0.0002841393388096045,0.0002878351017767732,0.2501919365825389,0.25120954757984665,0.2509100833329891,0.2476884325046254,0.0001247071337409677,0.011167234829668788
2022-01-13,0.0004348262802693,1.890738940128773e-07,2.1553130989605747e-05,9.591378673557408e-05,0.0001318946303235,0.0001213390090243,0.0001312781316065,0.0002848404441603086,0.00028370965133987764,0.0002839140786467891,0.0002876970866926883,0.25016766011113967,0.2511647632855354,0.2509839165434709,0.24768366005985398,0.000120091399040412,0.010958622132385623
2022-01-14,-0.0211395303841227,0.0004468797448612,0.0002286808955093,9.01703039650804e-05,0.000127480152253,0.0001122409357332,0.0001271941542718,0.00019685399912648097,0.00019935084081247145,0.00019997069137871721,0.00020563470288912576,0.25450545293488364,0.25131780736684967,0.25053879578205224,0.24363794391621435,0.00011409689749991481,0.010681614929396904
2022-01-17,0.0108768816064198,0.00011830655348,0.0001554980772637,0.0001115728704188,0.0001489561544687,0.0001398555893097,0.0001584139943187,0.00018988890128653543,0.00019250982020698162,0.00019298523072168867,0.0002006921780195035,0.2553292928653776,0.25185312020106615,0.2512326912643148,0.2415848956692414,0.0001394096187637503,0.011807185048255588
