date,open,high,low,close,log_return,realized_var_proxy,parkinson_var_proxy
2015-01-02,18751.982054712254,19118.62819926039,18751.982054712254,19057.580078125,0.016258882785734795,0.00026435126944026325,0.00013523568853012505
2015-01-05,19154.976916424723,19165.777572328137,18987.478860316773,19017.1796875,-0.002122162085111639,4.50357191548538e-06,3.150750769124253e-05
2015-01-06,18874.379591754456,18874.379591754456,18388.135259878294,18430.53515625,-0.03133395621252254,0.0009818168119282798,0.00024569064654979907
2015-01-07,18382.336979934735,18481.83582268343,18211.288188119306,18304.037109375,-0.006887165908759215,4.743305425477515e-05,7.843472615413014e-05
2015-01-08,18586.884137537254,18752.083394309797,18485.984916604837,18701.18359375,0.021465173054110352,0.00046075365424290513,7.367155135542466e-05
2015-01-09,18845.681166634808,18863.78056546701,18479.435427019544,18637.033203125,-0.003436181973791989,1.1807346557013009e-05,0.00015283561230880366
2015-01-12,18631.78315691577,18821.831726315322,18529.883952228673,18795.630859375,0.00847380806230481,7.1805423076782e-05,8.814170641814785e-05
2015-01-13,18888.781096244074,18920.431120074147,18642.584730685543,18706.982421875,-0.004727596018125373,2.2350164110594886e-05,7.893670395724745e-05
2015-01-14,18670.182817640463,18769.43166104402,18517.684594778577,18603.583984375,-0.005542596222058748,3.07203728807799e-05,6.576562925968069e-05
2015-01-15,19340.225349433967,19410.175711611075,19061.128970689133,19235.427734375,0.03339952376298316,0.001115528187594077,0.00011876588742894892
2015-01-16,19273.927143656594,19275.57751516559,19108.1282828296,19222.927734375,-0.0006500538199214008,4.22569968794405e-07,2.745696734381734e-05
2015-01-19,19345.426480335773,19433.974283579555,19298.876237873494,19405.826171875,0.009469619688316631,8.967369704135398e-05,1.755162272293241e-05
2015-01-20,19446.574046370977,19808.019050898503,19446.574046370977,19766.8203125,0.018431451161048117,0.000339718391902102,0.00012232143871458348
2015-01-21,19811.619505323764,19964.717336528578,19802.920387610546,19843.01953125,0.0038474941100487747,1.4803210926860012e-05,2.3881433898503902e-05
2015-01-22,19898.267801593614,19964.01703434758,19788.468301624434,19917.41796875,0.0037423393205770167,1.4005103590336847e-05,2.8135005894757485e-05
2015-01-23,20133.61647943935,20167.416869309953,19967.1184073436,20072.466796875,0.007754441203035861,6.0131358371340244e-05,3.593358121952576e-05
2015-01-27,20179.566852294873,20609.01109276941,20098.01701640054,20555.01171875,0.023755725551025453,0.0005643344964556435,0.0002273594984129068
2015-01-28,20507.261535606554,20907.30766500397,20434.762378647807,20491.51171875,-0.003094052569624277,9.57316130359859e-06,0.00018850149611866909
2015-01-29,20475.461551529766,20578.76113373844,20338.713138825613,20528.361328125,0.001796671542377575,3.2280286311894144e-06,4.9655005390708846e-05
2015-01-30,20600.411131102745,20600.411131102745,19732.220042666555,19843.51953125,-0.03392992758690073,0.0011512399860523271,0.0006686922033991678
2015-02-02,19778.719758739975,19991.16846592145,19564.273027863288,19865.669921875,0.001115630574558539,1.2446315788898158e-06,0.00016805011680945872
2015-02-03,19941.468134586932,19963.467879651205,19303.27631128156,19382.724609375,-0.0246109271268577,0.0006056977340435001,0.0004078932822950233
2015-02-04,19423.024449358098,19423.024449358098,19113.127657421886,19173.77734375,-0.01083860311743135,0.00011747531753719258,9.330195180422866e-05
2015-02-05,19169.928317655314,19444.42513776215,18977.68054473896,19051.6796875,-0.00638831192464558,4.081052924656892e-05,0.00021291856677587014
2015-02-06,19066.02799494531,19119.476591339226,18740.131399064114,18786.48046875,-0.014017783118366664,0.00019649824355356545,0.0001448506841550167
2015-02-09,18649.78228272766,18666.832864929424,18379.385048715823,18403.634765625,-0.020589300423329408,0.00042391929192211255,8.686048372485468e-05
2015-02-10,18242.736412716586,18933.478355040945,18226.687771802954,18752.28125,0.01876722496607832,0.00035220873292739343,0.0005220420814156123
2015-02-11,18890.529880079688,19051.5787847242,18890.529880079688,18940.580078125,0.009991302751564141,9.982613067341319e-05,2.59927589360535e-05
2015-02-12,19073.227204448674,19176.577563939998,18739.631478161802,19128.376953125,0.00986622240402912,9.734234452576616e-05,0.00019161031281859177
2015-02-13,19284.077162147976,19440.77456382724,19164.027772996564,19369.474609375,0.012525416277943655,0.0001568860529357759,7.414330463710059e-05
2015-02-16,19518.62313697485,19532.472585656247,19126.928463014323,19189.7265625,-0.00932329215553423,8.692377661744611e-05,0.00015877143958194435
2015-02-18,19226.176597202604,19389.57508586302,19171.67723157728,19296.275390625,0.005537031384839326,3.06587165566957e-05,4.606673492707392e-05
2015-02-19,19295.926482915067,19377.224367668772,18876.03096470933,19188.078125,-0.0056229371584726635,3.161742228813263e-05,0.0002476841051029666
2015-02-20,19157.077147339303,19307.575390468442,18882.029576911256,19073.328125,-0.005998229301707132,3.597875475585803e-05,0.00017914834613679873
2015-02-23,19198.926353043124,19219.52572203839,18835.129817035526,18913.1796875,-0.008431908883543004,7.109708742037144e-05,0.00014721294351434695
2015-02-24,18940.229812534344,19021.930037982744,18737.53294185265,18883.58203125,-0.0015661480483459501,2.4528197093378284e-06,8.18445303688889e-05
2015-02-25,18968.97968893823,19068.92970408217,18699.982802064867,18732.833984375,-0.008015056715148473,6.424113414704663e-05,0.00013767685726232868
2015-02-26,18781.182727187257,18794.881787172788,18489.385327706448,18537.884765625,-0.010461348920496856,0.00010943982123638075,9.686237622709117e-05
2015-02-27,18659.432577485917,19114.22609676759,18654.63185227519,19074.328125,0.028526890428039197,0.0008137834774933543,0.00021364801924576477
2015-03-02,19954.268200758932,20065.266911339713,19750.62017581616,20007.8671875,0.04778220183800946,0.0022831388124882742,9.010031076632586e-05
2015-03-03,20043.167011625617,20043.167011625617,19821.31998539713,19960.966796875,-0.002346849155992095,5.507700960980808e-06,4.4680535489103837e-05
