date,log_return,realized_var_proxy,parkinson_var_proxy,ewma_forecast_variance,ewma_forecast_volatility,garch_forecast_variance,garch_forecast_volatility,egarch_forecast_variance,egarch_forecast_volatility,gjr_garch_forecast_variance,gjr_garch_forecast_volatility
2022-01-03,0.0155320663316478,0.0002412450845307,8.15412183293709e-05,9.585452107123748e-05,0.009790532215933793,8.448991344860987e-05,0.009191839502983605,9.024237767810008e-05,0.009499598816692212,8.721631687399432e-05,0.009338967655688412
2022-01-04,0.0101353377336508,0.0001027250709751,6.299046267777747e-05,0.00010457795487880566,0.01022633633706645,0.0001009209013038685,0.010045939543112356,8.36454514400941e-05,0.009145788727064173,8.005842197821608e-05,0.008947537201834709
2022-01-05,0.0067169757589339,4.5117763346106914e-05,4.343593911256433e-05,0.00010446678184458727,0.010220899267901394,0.00010132033211360184,0.010065800122871596,7.698874497014512e-05,0.008774323049110121,7.375378281775118e-05,0.00858800225999919
2022-01-06,-0.0100558080531172,0.0001011192756011,2.32740212474313e-05,0.00010090584073467837,0.010045189930244145,9.585179539701906e-05,0.009790393015452396,7.06108723643511e-05,0.008403027571319227,6.820068717878099e-05,0.008258370733914831
2022-01-07,0.0037571168401497,1.4115926950536603e-05,4.571507736639733e-05,0.00010091864682666588,0.010045827334105731,9.671870816406796e-05,0.009834567004401768,8.746574190716959e-05,0.009352312115577067,8.105365141553326e-05,0.009002980140794117
2022-01-10,0.0106434756439645,0.0001132835737836,2.141456293098256e-05,9.57104836340981e-05,0.009783173495042296,8.869057731459892e-05,0.009417567483941855,7.939824432012851e-05,0.008910569247816242,7.463037608330567e-05,0.008638887433188702
2022-01-11,0.0029090757855369,8.462721925997276e-06,1.5160948729481456e-05,9.676486904307215e-05,0.009836913593351938,9.167563000336257e-05,0.00957473916111361,7.330669931086725e-05,0.008561933152674532,6.897278628350211e-05,0.008304985628133386
2022-01-12,0.0086357203311153,7.457566563723864e-05,1.072947157154741e-05,9.146674021604764e-05,0.009563824560083044,8.370295870880034e-05,0.009148932107563174,6.682874833364999e-05,0.008174885218377686,6.398960858614131e-05,0.007999350510269026
2022-01-13,0.0024925148330414,6.212630192931751e-06,1.2781074376410031e-05,9.045327574131908e-05,0.009510692705650787,8.339804920225173e-05,0.00913225323796114,6.187315305229275e-05,0.00786594896069716,5.960044980731503e-05,0.007720132758399627
2022-01-14,-0.0001123298725145,1.2618000259143822e-08,3.046535306548237e-05,8.539883700841582e-05,0.009241149117313054,7.62263319821419e-05,0.008730769266344285,5.6672998720487735e-05,0.00752814709742628,5.5734500010919223e-05,0.007465554233338555
2022-01-17,0.0028634646353713,8.199429718022364e-06,9.300317171965196e-06,8.027566386792641e-05,0.00895966873650619,6.931925920885999e-05,0.008325818831133668,5.195868415227498e-05,0.007208237243062619,5.233160432247656e-05,0.00723405863416081
2022-01-18,-0.0107108474462168,0.0001147222530161,7.63413781999352e-05,7.595108981893215e-05,0.00871499224434148,6.409703019950255e-05,0.008006062090659962,4.7912191545960704e-05,0.006921863300149802,4.933213611315767e-05,0.007023683941718738
2022-01-19,-0.0096890278340564,9.387726036912013e-05,6.638737649034742e-05,7.827735961076396e-05,0.00884744932795684,7.028231937249274e-05,0.008383455097541391,6.578901737178957e-05,0.008111042927502577,6.682133226808187e-05,0.008174431617432606
2022-01-20,-0.0101638838763968,0.0001033045354528,9.928093706745286e-05,7.921335365626531e-05,0.008900188405661159,7.359394313219861e-05,0.008578691224901302,8.162215342466704e-05,0.009034497961960423,7.85679154090588e-05,0.008863854432979977
2022-01-21,-0.0079069227919098,6.251942803722409e-05,5.727823472279925e-05,8.065882456406213e-05,0.008981025808005572,7.744636486741864e-05,0.008800361632763659,9.880215811787874e-05,0.009939927470453632,9.056851860420853e-05,0.009516749371723967
