date,log_return,realized_var_proxy,parkinson_var_proxy,ewma_forecast_variance,ewma_forecast_volatility,garch_forecast_variance,garch_forecast_volatility,egarch_forecast_variance,egarch_forecast_volatility,gjr_garch_forecast_variance,gjr_garch_forecast_volatility
2022-01-03,0.0275096742830099,0.0007567821791572,0.0003641937190851,0.00038951840944980505,0.01973622074891252,0.00045147629771690183,0.021247971614177713,0.0005165739388348461,0.022728262996429053,0.0005063357653818961,0.02250190581666131
2022-01-04,0.0055427089368212,3.072162235831825e-05,0.0001472856773784,0.00041155423563225455,0.020286799541382926,0.0004690026274191089,0.02165646848909371,0.0005134196789587346,0.022658766051105575,0.0005022010701006064,0.02240984315207508
2022-01-05,0.0247607507905618,0.0006130947797123,0.0004186092102197,0.0003887042788358183,0.01971558466888107,0.000452441476567786,0.021270671746980302,0.0004875096056010952,0.0220796196887785,0.0004848845704986145,0.02202009469776673
2022-01-06,-0.0122607683586042,0.0001503264407433,0.0001987955541751,0.0004021677088884076,0.020054119499205336,0.0004634033818005276,0.021526806121682975,0.00048312271634051333,0.02198005269194124,0.00047952646119221373,0.0218980926382234
2022-01-07,-0.0024960519571164,6.230275372624888e-06,0.0001830145445042,0.00038705723279970416,0.01967377017248357,0.0004526541310360101,0.02127566993154411,0.00048820511581085935,0.022095364124876046,0.00047270959212418684,0.021741885661648273
2022-01-10,0.0074696937992671,5.5796325454810785e-05,0.0001018122056407,0.0003642076153540794,0.01908422425340049,0.00043617127959489656,0.020884714017551126,0.00046552412798251595,0.021576008156805,0.0004571992695231751,0.021382218536044734
2022-01-11,-0.0337524981383584,0.0011392311305798,0.0006883262007654,0.0003457029379601232,0.018593088445982373,0.0004231237484150621,0.02056997200812539,0.0004451456619948817,0.02109847534763784,0.0004433689491861668,0.021056328008134912
2022-01-12,0.0148852967542596,0.0002215720594623,9.370072508096386e-05,0.00039331462951730907,0.01983216149382888,0.0004599917482325767,0.021447418218344526,0.0005159936355450623,0.022715493293016163,0.0005017821018191456,0.022400493338744696
2022-01-13,0.0624687394573318,0.003902343409388,0.0013739008266691,0.00038301007531401276,0.019570643201336353,0.00045271003387347504,0.02127698366483076,0.0004995325363643346,0.022350224526038538,0.0004880316353449615,0.022091438055159774
2022-01-14,-0.0062017851319565,3.846213882295718e-05,9.9500627735774e-05,0.0005941700753584523,0.024375604102431028,0.000612321431171935,0.02474512944342654,0.0005356314345863765,0.023143712636186455,0.0005434369284670613,0.023311733707878986
2022-01-17,0.0132197392885417,0.000174761506857,0.0007267371059332,0.0005608275991663225,0.023681798900554885,0.0005857194868723074,0.024201642235028336,0.0005200516975355159,0.022804642017262976,0.0005252250277812683,0.022917788457468325
2022-01-18,-0.0287901461563197,0.0008288725157022,0.0004701639842039,0.0005376636336277639,0.023187574983765852,0.0005672067119969852,0.023816101947988576,0.0005015710910545419,0.022395782885501946,0.000509032883427928,0.022561757099745755
2022-01-19,0.0122689412998724,0.0001505269206197,0.0003586663249732,0.0005551361665522332,0.023561327775663093,0.0005796009266777958,0.024074902423017124,0.0005566413230949001,0.02359324740460499,0.0005433274830219416,0.023309386157124377
2022-01-20,-0.0024004388260873,5.762106557787748e-06,0.0001794526926449,0.000530859611796282,0.023040390877680048,0.0005604363832037261,0.023673537614892416,0.0005345248203177631,0.023119792826013022,0.0005254707158446241,0.022923148035220296
2022-01-21,-0.0311419216701835,0.0009698192853118,0.0005953984439609,0.0004993537614819722,0.022346224770237417,0.0005361181282092422,0.023154224845786615,0.0005080494481130779,0.022539952265102026,0.0005063883565083946,0.022503074379035294
