asset,model,target,MAE,RMSE,QLIKE,n_observations
nifty50,EWMA,realized_var_proxy,7.962603315701145e-05,0.00018756151033852542,4715.836489763281,987
nifty50,GARCH,realized_var_proxy,8.167820600342131e-05,0.00018676458076102932,4989.394527812106,987
nifty50,EGARCH,realized_var_proxy,8.012759662770851e-05,0.00018531261500052062,7113.361647236201,987
nifty50,GJR-GARCH,realized_var_proxy,8.075911388214458e-05,0.00018755400278927417,6220.369492379193,987
nifty50,EWMA,parkinson_var_proxy,5.0350026652633e-05,0.00010636600677258369,1.5353602711724095,987
nifty50,GARCH,parkinson_var_proxy,5.3744575221459175e-05,0.00010740259652254597,1.738279974790814,987
nifty50,EGARCH,parkinson_var_proxy,5.34813441005382e-05,0.00010597175194707372,1.5910290953310893,987
nifty50,GJR-GARCH,parkinson_var_proxy,5.388751755015581e-05,0.00011177904320745143,1.6432785820882134,987
banknifty,EWMA,realized_var_proxy,0.0001220315007573537,0.00031443581647635924,1538.1076074834118,986
banknifty,GARCH,realized_var_proxy,0.00012912074362303623,0.0003141038271229296,1895.7556541968481,986
banknifty,EGARCH,realized_var_proxy,0.00012612489006635759,0.00031279753009658595,1717.425911582553,986
banknifty,GJR-GARCH,realized_var_proxy,0.00013054737871028284,0.0003168348068102237,1624.8632889115497,986
banknifty,EWMA,parkinson_var_proxy,7.327802627271335e-05,0.0001499072082927752,1.0898468258481964,986
banknifty,GARCH,parkinson_var_proxy,8.225313470698531e-05,0.00015394648535062817,1.4096967801195637,986
banknifty,EGARCH,parkinson_var_proxy,8.033256165466818e-05,0.00014963937593812185,1.3474677621554618,986
banknifty,GJR-GARCH,parkinson_var_proxy,8.475647825964112e-05,0.00015986331893658067,1.4605922726597584,986
adanient,EWMA,realized_var_proxy,0.0014332836826020502,0.005779780405877884,602.8853643059565,987
adanient,GARCH,realized_var_proxy,0.0014748439475266001,0.005578843071220901,634.2315783079731,987
adanient,EGARCH,realized_var_proxy,0.00143870206556262,0.005630189859422417,573.8891012418436,987
adanient,GJR-GARCH,realized_var_proxy,0.001501497572687255,0.00563560898605637,669.0991468750808,987
adanient,EWMA,parkinson_var_proxy,0.0010158342482688204,0.004235931166693139,2.1280709533653286,987
adanient,GARCH,parkinson_var_proxy,0.0009902102139151556,0.0035600444825001592,2.731862650806511,987
adanient,EGARCH,parkinson_var_proxy,0.0010068619767732358,0.0038417459746059764,2.5994066156500635,987
adanient,GJR-GARCH,parkinson_var_proxy,0.0009941615599636739,0.0032914544656281685,2.7620953906494976,987
tatasteel,EWMA,realized_var_proxy,0.0004467966992908432,0.0009724718806648077,308.22371642533477,987
tatasteel,GARCH,realized_var_proxy,0.0004865413755949761,0.0009699736771651177,360.7781883011827,987
tatasteel,EGARCH,realized_var_proxy,0.00046469702915102364,0.000964603381411969,320.63928875357533,987
tatasteel,GJR-GARCH,realized_var_proxy,0.0004920950123204875,0.0009713882365351536,352.3357211878591,987
tatasteel,EWMA,parkinson_var_proxy,0.0002542054395069662,0.0004693967336423247,1.015578902360863,987
tatasteel,GARCH,parkinson_var_proxy,0.00029750578109410985,0.0004676419664353146,1.541884884026354,987
tatasteel,EGARCH,parkinson_var_proxy,0.00027534233121945213,0.0004533951667533175,1.3569010046125003,987
tatasteel,GJR-GARCH,parkinson_var_proxy,0.00030595920837238517,0.000479820613231663,1.6061413381403706,987
dlf,EWMA,realized_var_proxy,0.0004553973289932666,0.0009092057356195325,274.0296922084339,987
dlf,GARCH,realized_var_proxy,0.0006541037035239665,0.0009553709410192532,643.4245124890184,987
dlf,EGARCH,realized_var_proxy,0.0006381219316086037,0.0009475578973216978,590.4487871159913,987
dlf,GJR-GARCH,realized_var_proxy,0.0006439513107137488,0.0009514171726934041,623.0503392516013,987
dlf,EWMA,parkinson_var_proxy,0.00028392895039595895,0.0007858119446435112,0.766587791117548,987
dlf,GARCH,parkinson_var_proxy,0.0005107236958783706,0.0008586014374411982,2.2597435951191436,987
dlf,EGARCH,parkinson_var_proxy,0.0004980975341677401,0.0008654191640291712,2.113131037076008,987
dlf,GJR-GARCH,parkinson_var_proxy,0.0005014985482720629,0.0008645246180389565,2.17151523645043,987
hindunilvr,EWMA,realized_var_proxy,0.00018392204069705368,0.0003800785517994856,1263.5829589660773,987
hindunilvr,GARCH,realized_var_proxy,0.00018934218562330062,0.0003775277838629297,1077.2633279205502,987
hindunilvr,EGARCH,realized_var_proxy,0.00018800596921324039,0.00037695917876932704,1080.5695450132207,987
