date,log_return,realized_var_proxy,parkinson_var_proxy,ewma_forecast_variance,ewma_forecast_volatility,garch_forecast_variance,garch_forecast_volatility,egarch_forecast_variance,egarch_forecast_volatility,gjr_garch_forecast_variance,gjr_garch_forecast_volatility
2022-01-03,0.0044941941383541,2.01977809532167e-05,5.7799536880342694e-05,0.0004290610783059269,0.02071378956893033,0.0007002696079980037,0.026462607732383514,0.0007865587972322627,0.02804565558570993,0.000712454712384589,0.02669184730183711
2022-01-04,0.0010768262597204,1.1595547936236391e-06,9.625610681026594e-05,0.00040452928046476425,0.020112913276419314,0.0006682343275770211,0.02585022877223761,0.0007047890935289381,0.026547864199007388,0.0006757200116829609,0.025994615051640232
2022-01-05,-0.0020673020559523,4.273737790544811e-06,0.0002152030554724,0.0003803270969244958,0.0195019767440251,0.0006432084761665925,0.025361555081788507,0.0006270136475919524,0.02504024056577637,0.0006488369280650319,0.025472277637954403
2022-01-06,-0.0013708192540615,1.8791454273059687e-06,0.0002906766880996,0.0003577638953764587,0.018914647640822145,0.0006270297702027436,0.02504056249773043,0.0005802240850340637,0.02408784102060755,0.0006316878955751932,0.02513340198968682
2022-01-07,-0.0082059281898349,6.733725745672786e-05,0.0002103727448974,0.0003364108103795095,0.018341505128519564,0.0006157443668575577,0.024814196881171827,0.0005377217269882448,0.023188827632897806,0.0006194182581679365,0.024888114797387458
2022-01-10,0.0310017846996024,0.0009611106545605,0.0005379024136127,0.00032026639720414256,0.017895988299173157,0.0006204546838481559,0.02490892779402911,0.0005621903975388596,0.02371055455991824,0.000629111391880372,0.025082093052222976
2022-01-11,0.0507825122271616,0.0025788635481018,0.0014327028681876,0.0003587170526455241,0.018939827154584175,0.00079113664335395,0.028127151355122153,0.0006565418621389226,0.025623072847317175,0.0007186800218951801,0.026808208106756784
2022-01-12,-0.007512430283318,5.643660876171453e-05,0.000445727527912,0.0004919258423729018,0.022179401307810404,0.0012086882796169768,0.0347661944943213,0.0008523579117840529,0.029195169322750174,0.0009502092015825116,0.030825463525833825
2022-01-13,0.012624218521298,0.0001593708932734,0.000323888960536,0.0004657964883562305,0.021582318882738954,0.0010155678450816054,0.03186797522720271,0.0008056607113661237,0.02838416303797108,0.0008500832578903744,0.029156187300303418
2022-01-14,0.0090774024669574,8.239923554712568e-05,0.0003669793037382,0.0004474109526512657,0.021152090975864908,0.0009055087379766712,0.030091672236296062,0.0007593194981273413,0.027555752541481085,0.0007836055084089682,0.02799295462092146
2022-01-17,0.0040287122782393,1.62305226208367e-05,0.0002139467578593,0.0004255102496250172,0.020627899787060658,0.0008173632773068145,0.028589565881748092,0.0007060592357647795,0.02657177517150067,0.0007304646608451435,0.027027109739022104
2022-01-18,-0.0198191487295463,0.0003927986563638,0.0006354494516436,0.0004009534660047663,0.020023822462376314,0.0007459205510609029,0.02731154611260415,0.0006413410079925322,0.025324711409856822,0.0006874949887352741,0.02622012564301083
2022-01-19,0.0045255231581522,2.0480359854972755e-05,0.0002244315568533,0.0004004641774263129,0.020011601071036594,0.0007686510326279446,0.02772455649109548,0.0007663847609558182,0.027683655122758232,0.0007647041148208873,0.027653283978957856
2022-01-20,0.0089095487389266,7.938005873131015e-05,0.0001397398038448,0.0003776651483720324,0.019433608732606314,0.000714089462707041,0.026722452408172438,0.0006896615887785747,0.02626140873560622,0.0007111264981892511,0.02666695517282112
2022-01-21,-0.0203028743909045,0.0004122067085328,0.0004120554297312,0.00035976804299358894,0.018967552372237937,0.0006885839243073298,0.026240882689180442,0.000651285939716024,0.02552030445970471,0.0006810721923711378,0.02609735987357989
