epoch,train_loss,val_loss
0,1.6938887599999233,1.4431707859039307
1,1.6937381222572094,1.4430906772613525
2,1.693058717565169,1.4430502653121948
3,1.6927685302362965,1.443096399307251
4,1.6924938674388985,1.442941665649414
5,1.6922707104900545,1.4428510665893555
6,1.6920297682648016,1.4430263042449951
7,1.6916944417218407,1.4428608417510986
8,1.691355825921343,1.4427138566970825
9,1.6911129617787761,1.4426579475402832
10,1.6910722320993823,1.442527174949646
11,1.6904596322448453,1.4424242973327637
12,1.69019647761726,1.442427635192871
13,1.690321627543374,1.4422510862350464
14,1.6898703923331797,1.442287802696228
15,1.6896490513915705,1.4423054456710815
16,1.6894714484108388,1.4421950578689575
17,1.6892890317203064,1.4420280456542969
18,1.6889594829590278,1.4421217441558838
19,1.688691768878372,1.4423573017120361
20,1.6884447921362176,1.4422423839569092
21,1.688190387905732,1.4422160387039185
22,1.688084060231764,1.4419320821762085
23,1.6875744514001068,1.4420982599258423
24,1.6874348092030802,1.442073941230774
25,1.6872352813852245,1.4422329664230347
26,1.6869429705350927,1.4420970678329468
27,1.686757189748737,1.4421145915985107
28,1.6864509536576804,1.4422051906585693
29,1.6863548327652969,1.442314624786377
30,1.6861402120358078,1.4422063827514648
31,1.6858675990095002,1.4418416023254395
32,1.685846880410796,1.441628336906433
33,1.6855258559600335,1.4412492513656616
34,1.6851816087900746,1.4412864446640015
35,1.685209065131677,1.4410090446472168
36,1.6848080733726765,1.440811276435852
37,1.6843968525861388,1.4405359029769897
38,1.6843538966188567,1.4403810501098633
39,1.6843472633352143,1.4404664039611816
40,1.6842223241411407,1.440520167350769
41,1.6833551225023868,1.440314769744873
42,1.6832578135068712,1.4401979446411133
43,1.683270518484754,1.4402308464050293
44,1.6827580184046684,1.4397404193878174
45,1.6825517732763386,1.4395933151245117
46,1.6826296466842867,1.4399808645248413
47,1.6825198017317673,1.4393806457519531
48,1.681874358388038,1.4392809867858887
49,1.6816704016911814,1.4392993450164795
50,1.6816048007949613,1.4390957355499268
51,1.6813903797954382,1.439018964767456
52,1.6810180408234046,1.439029574394226
53,1.681142840375765,1.439444661140442
54,1.6808515163270745,1.4393671751022339
55,1.6807471801494729,1.4393293857574463
56,1.6802758228706298,1.4392919540405273
57,1.6801418576230867,1.439241647720337
58,1.6800953657583582,1.4397270679473877
59,1.6805032547298842,1.439693570137024
60,1.6796311584979478,1.4396127462387085
61,1.6796182630995466,1.4392110109329224
62,1.679132968368685,1.4390898942947388
63,1.678966472888815,1.4387272596359253
64,1.6788381067299214,1.4389322996139526
65,1.6785602139169256,1.4385557174682617
66,1.678652335857523,1.4387837648391724
67,1.678210700501293,1.4385080337524414
68,1.6781596699786234,1.438750147819519
69,1.677878308006039,1.4382922649383545
70,1.6783945470987904,1.4378653764724731
71,1.6779292778359465,1.4384912252426147
72,1.6772786129802526,1.4379855394363403
73,1.6771167828635318,1.4381725788116455
74,1.6771531505226847,1.4382643699645996
75,1.6769286839038315,1.4381083250045776
76,1.6766212158222469,1.4385813474655151
77,1.6768434526470564,1.4388357400894165
78,1.6766132915479417,1.4387784004211426
79,1.676289176118785,1.438658595085144
80,1.6760023507095012,1.4381964206695557
81,1.6759493785020545,1.4382407665252686
82,1.6758932999616705,1.4381718635559082
83,1.6756526612606784,1.4381983280181885
84,1.6755099959112325,1.437847375869751
85,1.6754397354551551,1.4379750490188599
86,1.67526631882418,1.4379678964614868
87,1.6750625601646625,1.4376194477081299
88,1.6749569262258905,1.4378019571304321
89,1.6748150115564435,1.4377042055130005
90,1.6747878381253256,1.4374620914459229
91,1.6745590106952504,1.437646746635437
92,1.6744834058908613,1.4376819133758545
93,1.674378975409765,1.4377466440200806
94,1.674141238717472,1.437567114830017
95,1.6744416799796764,1.4376392364501953
96,1.6740318043478604,1.4373979568481445
97,1.6738695392260445,1.4381115436553955
98,1.673849341593698,1.438397765159607
99,1.6733521167453356,1.4385706186294556
100,1.673728697923811,1.4386649131774902
101,1.6730919401737545,1.4387272596359253
102,1.6729365023831566,1.4386603832244873
103,1.6727809337766852,1.4383084774017334
104,1.6726267548168408,1.438260793685913
105,1.6725707727561858,1.4380136728286743
106,1.6723804116007281,1.4381004571914673
107,1.6723631504341265,1.4377471208572388
108,1.672203899397086,1.4386544227600098
109,1.6720316193650266,1.4385013580322266
110,1.6717467670750183,1.43832266330719
111,1.672261120581482,1.4379969835281372
