epoch,train_loss,val_loss
0,1.4730735536037545,1.889835238456726
1,1.472827671507551,1.8903324604034424
2,1.4725946675207746,1.890758991241455
3,1.4724002370486153,1.8909389972686768
4,1.4721825591932687,1.891494631767273
5,1.4719968770628769,1.891928791999817
6,1.4718338316400927,1.8924479484558105
7,1.4715488421264091,1.8929226398468018
8,1.4713091045073998,1.8933244943618774
9,1.4710655183385883,1.8941932916641235
10,1.4707582642533958,1.8947654962539673
11,1.4705440058669503,1.89545738697052
12,1.4702951446266252,1.8961083889007568
13,1.4700774440417184,1.8968054056167603
14,1.469821790410829,1.8975350856781006
15,1.4695990772324692,1.8983862400054932
