epoch,train_loss,val_loss
0,1.664471362231953,1.6579878330230713
1,1.658202561113462,1.6573255062103271
2,1.650986730689693,1.656505823135376
3,1.6416060670636006,1.6562259197235107
4,1.631350222755881,1.6560723781585693
5,1.619062214787543,1.6562284231185913
6,1.6108716675524295,1.6573649644851685
7,1.6014989358174632,1.6572226285934448
8,1.5990167899741121,1.6576423645019531
9,1.594868293398534,1.6576870679855347
10,1.5919955110453206,1.6578543186187744
11,1.5899849989834953,1.6586967706680298
12,1.5868490999658984,1.6588325500488281
13,1.584861260640452,1.6593506336212158
14,1.583018556811505,1.6594626903533936
15,1.58153823519817,1.6593717336654663
16,1.5799858473377344,1.6594901084899902
17,1.5785848714758852,1.6597257852554321
18,1.5773336461784873,1.6591846942901611
19,1.5760772262093503,1.6588464975357056
