date,close,log_return,realized_var_proxy
2015-01-05,8378.400390625,-0.0020329035926431203,4.132697016981306e-06
2015-01-06,8127.35009765625,-0.030422082918029548,0.0009255031290714653
2015-01-07,8102.10009765625,-0.0031116297926513815,9.68223996651568e-06
2015-01-08,8234.599609375,0.01622144246054657,0.0002631351955008231
2015-01-09,8284.5,0.006041557177687999,3.6500413131273386e-05
2015-01-12,8323.0,0.004636467736743234,2.1496833073860928e-05
2015-01-13,8299.400390625,-0.0028394966643650508,8.06274130694025e-06
2015-01-14,8277.5498046875,-0.0026362628028638235,6.949881565763422e-06
2015-01-15,8494.150390625,0.025830729950324278,0.0006672266097665797
2015-01-16,8513.7998046875,0.0023106162211340322,5.338947321367715e-06
2015-01-19,8550.7001953125,0.004324820315931695,1.8704070765095524e-05
2015-01-20,8695.599609375,0.01680393189462208,0.0002823721271190972
2015-01-21,8729.5,0.003890988763950604,1.5139793561189849e-05
2015-01-22,8761.400390625,0.003647659672542357,1.3305421086691815e-05
2015-01-23,8835.599609375,0.008433216854945564,7.111914652253795e-05
2015-01-27,8910.5,0.008441385660836975,7.125699187498408e-05
2015-01-28,8914.2998046875,0.0004263503418490414,1.8177461399479448e-07
2015-01-29,8952.349609375,0.0042593170470792705,1.8141781707540076e-05
2015-01-30,8808.900390625,-0.016153405638702815,0.0002609325137284759
2015-02-02,8797.400390625,-0.0013063506955069547,1.7065521396515043e-06
2015-02-03,8756.5498046875,-0.004654298232220474,2.166249203445063e-05
2015-02-04,8723.7001953125,-0.0037584872121479928,1.4126226123879991e-05
2015-02-05,8711.7001953125,-0.0013765100457609084,1.8947799060806981e-06
2015-02-06,8661.0498046875,-0.005831032408607971,3.400093895023648e-05
2015-02-09,8526.349609375,-0.015674617197285398,0.00024569362428143515
2015-02-10,8565.5498046875,0.004586999150377187,2.1040561205561035e-05
2015-02-11,8627.400390625,0.007194908616778425,5.176671000379243e-05
2015-02-12,8711.5498046875,0.009706478627223793,9.421572734075229e-05
2015-02-13,8805.5,0.010726817268910518,0.00011506460872059691
2015-02-16,8809.349609375,0.0004370868354434235,1.9104490171794636e-07
2015-02-18,8869.099609375,0.006759668427262326,4.569311724652713e-05
2015-02-19,8895.2998046875,0.0029497438893496893,8.700989012755832e-06
2015-02-20,8833.599609375,-0.006960437077779418,4.8447684313726485e-05
2015-02-23,8754.9501953125,-0.008943311319236858,7.998281735279011e-05
2015-02-24,8762.099609375,0.0008162806567537197,6.66314110590284e-07
2015-02-25,8767.25,0.0005876305610850604,3.4530967632114286e-07
2015-02-26,8683.849609375,-0.009558254487962844,9.136022885666186e-05
2015-02-27,8844.599609375,0.018342125395864908,0.0003364335640376324
2015-03-02,8956.75,0.012600378838793266,0.00015876954688110915
2015-03-03,8996.25,0.00440038586730066,1.936339578113938e-05
2015-03-04,8922.650390625,-0.008214792388202198,6.748281398126477e-05
2015-03-05,8937.75,0.0016908482052135402,2.85896765307385e-06
2015-03-09,8756.75,-0.02045904811401918,0.0004185726497317518
2015-03-10,8712.0498046875,-0.005117729137055929,2.619115152027122e-05
2015-03-11,8699.9501953125,-0.00138980143838521,1.931548038137599e-06
2015-03-12,8776.0,0.00870342200550124,7.574955460584323e-05
2015-03-13,8647.75,-0.014721551472009752,0.0002167240777430325
2015-03-16,8633.150390625,-0.0016896819631506011,2.8550251365964695e-06
2015-03-17,8723.2998046875,0.01038809476984804,0.0001079125129473442
2015-03-18,8685.900390625,-0.0042965180681336585,1.8460067509798986e-05
2015-03-19,8634.650390625,-0.005917842938767325,3.5020865047918287e-05
2015-03-20,8570.900390625,-0.0074104331263360745,5.491451911989905e-05
2015-03-23,8550.900390625,-0.002336203925268819,5.457848780441437e-06
2015-03-24,8542.9501953125,-0.0009301819792756467,8.652385145691596e-07
2015-03-25,8530.7998046875,-0.0014232834235154116,2.0257357036537506e-06
2015-03-26,8342.150390625,-0.022362097108321904,0.0005000633870820189
2015-03-27,8341.400390625,-8.990891811211022e-05,8.08361355609014e-09
2015-03-30,8492.2998046875,0.017928732765285012,0.00032143945856900435
2015-03-31,8491.0,-0.00015306856794447524,2.3429986492572434e-08
2015-04-01,8586.25,0.011155307528727893,0.0001244408860604932
2015-04-06,8659.900390625,0.008541133724940244,7.295096530731161e-05
2015-04-07,8660.2998046875,4.6121183134830896e-05,2.12716353375661e-09
2015-04-08,8714.400390625,0.006227533157299894,3.878216922526958e-05
2015-04-09,8778.2998046875,0.007305870171212896,5.337573895861835e-05
2015-04-10,8780.349609375,0.00023348090715570997,5.451333400625326e-08
2015-04-13,8834.0,0.0060916874846368065,3.71086564104807e-05
2015-04-16,8706.7001953125,-0.014515046525185486,0.00021068657562829923
2015-04-17,8606.0,-0.011633232232741262,0.00013533209218089025
2015-04-20,8448.099609375,-0.01851811663955681,0.00034292064387623085
2015-04-21,8377.75,-0.008362135754524264,6.992531437709308e-05
2015-04-22,8429.7001953125,0.006181825339152998,3.821496452379408e-05
2015-04-23,8398.2998046875,-0.003731926202576211,1.3927273181474899e-05
2015-04-24,8305.25,-0.011141436198728826,0.00012413160057034504
2015-04-27,8213.7998046875,-0.011072202173819238,0.00012259366097792747
2015-04-28,8285.599609375,0.008703378361128562,7.57487948969609e-05
2015-04-29,8239.75,-0.0055490174921902485,3.0791595128633356e-05
2015-04-30,8181.5,-0.007094495768480639,5.033187020898969e-05
2015-05-04,8331.9501953125,0.018222037975143816,0.0003320426679675834
2015-05-05,8324.7998046875,-0.0008585577695799613,7.37121443706118e-07
2015-05-06,8097.0,-0.027745365388399824,0.0007698053005358149
2015-05-07,8057.2998046875,-0.004915134139810429,2.4158543612330004e-05
2015-05-08,8191.5,0.01651854271401412,0.00027286225339470893
2015-05-11,8325.25,0.016196034167464263,0.0002623115227536698
2015-05-12,8126.9501953125,-0.024107341992543527,0.0005811639379454525
2015-05-13,8235.4501953125,0.013262307208340643,0.00017588879248840416
2015-05-14,8224.2001953125,-0.0013669794296785854,1.8686327611643906e-06
2015-05-15,8262.349609375,0.004627952191887896,2.1417941490399976e-05
2015-05-18,8373.650390625,0.013380913913783618,0.000179048857168088
2015-05-19,8365.650390625,-0.0009558345015271625,9.136195943096792e-07
2015-05-20,8423.25,0.006861656693210339,4.708233257547824e-05
2015-05-21,8421.0,-0.0002671534812630433,7.137098255096323e-08
2015-05-22,8458.9501953125,0.004496489481834225,2.0218417660245814e-05
2015-05-25,8370.25,-0.010541322896106728,0.00011111948839998393
2015-05-26,8339.349609375,-0.003698523791285403,1.3679078234704152e-05
2015-05-27,8334.599609375,-0.0005697510609127147,3.2461627141116396e-07
2015-05-28,8319.0,-0.0018734224796336696,3.509711787196767e-06
2015-05-29,8433.650390625,0.01368764678319723,0.00018735167446156948
2015-06-01,8433.400390625,-2.9643593685729908e-05,8.78742646604646e-10
2015-06-02,8236.4501953125,-0.02363060893126965,0.0005584056784626009
2015-06-03,8135.10009765625,-0.012381404397236432,0.00015329917484790566
2015-06-04,8130.64990234375,-0.0005471860103022912,2.9941252987053914e-07
2015-06-05,8114.7001953125,-0.001963603376990351,3.85573822212791e-06
2015-06-08,8044.14990234375,-0.008732148739867544,7.625042161517034e-05
2015-06-09,8022.39990234375,-0.0027074902267056862,7.330503327706809e-06
2015-06-10,8124.4501953125,0.012640440848079765,0.0001597807448338035
2015-06-11,7965.35009765625,-0.019777160752925255,0.00039113608744704704
2015-06-12,7982.89990234375,0.0022008448289133065,4.843717960954441e-06
2015-06-15,8013.89990234375,0.0038757800540692557,1.5021671027521083e-05
2015-06-16,8047.2998046875,0.0041590853857635356,1.7297991246071817e-05
2015-06-17,8091.5498046875,0.005483675969067097,3.0070702133723963e-05
2015-06-18,8174.60009765625,0.010211514727058937,0.00010427503302094156
2015-06-19,8224.9501953125,0.006140443483030782,3.77050461682952e-05
2015-06-22,8353.099609375,0.015460439332762258,0.0002390251843620223
2015-06-23,8381.5498046875,0.003400157603319678,1.1561071727412617e-05
2015-06-24,8360.849609375,-0.0024727884395158908,6.114682666603434e-06
2015-06-25,8398.0,0.004433532413488122,1.965620966144981e-05
2015-06-26,8381.099609375,-0.0020144580738723343,4.0580413313894345e-06
2015-06-29,8318.400390625,-0.007509148581665224,5.638731242152484e-05
2015-06-30,8368.5,0.006004681365091595,3.6056198296278264e-05
2015-07-01,8453.0498046875,0.010052642911917523,0.00010105562951452562
2015-07-02,8444.900390625,-0.000964544764320111,9.303466023773385e-07
2015-07-03,8484.900390625,0.004725404031422576,2.2329443260184734e-05
2015-07-06,8522.150390625,0.004380543110671768,1.9189157944453894e-05
2015-07-07,8510.7998046875,-0.001332779992604704,1.776302508687395e-06
2015-07-08,8363.0498046875,-0.017512752525573723,0.00030669650102198884
2015-07-09,8328.5498046875,-0.004133821795005965,1.7088482632866336e-05
2015-07-10,8360.5498046875,0.0038348430969963264,1.4706021578580376e-05
2015-07-13,8459.650390625,0.011783656733947193,0.00013885456602349904
