date,close,log_return,realized_var_proxy
2015-01-02,19057.580078125,0.016258882785734795,0.00026435126944026325
2015-01-05,19017.1796875,-0.002122162085111639,4.50357191548538e-06
2015-01-06,18430.53515625,-0.03133395621252254,0.0009818168119282798
2015-01-07,18304.037109375,-0.006887165908759215,4.743305425477515e-05
2015-01-08,18701.18359375,0.021465173054110352,0.00046075365424290513
2015-01-09,18637.033203125,-0.003436181973791989,1.1807346557013009e-05
2015-01-12,18795.630859375,0.00847380806230481,7.1805423076782e-05
2015-01-13,18706.982421875,-0.004727596018125373,2.2350164110594886e-05
2015-01-14,18603.583984375,-0.005542596222058748,3.07203728807799e-05
2015-01-15,19235.427734375,0.03339952376298316,0.001115528187594077
2015-01-16,19222.927734375,-0.0006500538199214008,4.22569968794405e-07
2015-01-19,19405.826171875,0.009469619688316631,8.967369704135398e-05
2015-01-20,19766.8203125,0.018431451161048117,0.000339718391902102
2015-01-21,19843.01953125,0.0038474941100487747,1.4803210926860012e-05
2015-01-22,19917.41796875,0.0037423393205770167,1.4005103590336847e-05
2015-01-23,20072.466796875,0.007754441203035861,6.0131358371340244e-05
2015-01-27,20555.01171875,0.023755725551025453,0.0005643344964556435
2015-01-28,20491.51171875,-0.003094052569624277,9.57316130359859e-06
2015-01-29,20528.361328125,0.001796671542377575,3.2280286311894144e-06
2015-01-30,19843.51953125,-0.03392992758690073,0.0011512399860523271
2015-02-02,19865.669921875,0.001115630574558539,1.2446315788898158e-06
2015-02-03,19382.724609375,-0.0246109271268577,0.0006056977340435001
2015-02-04,19173.77734375,-0.01083860311743135,0.00011747531753719258
2015-02-05,19051.6796875,-0.00638831192464558,4.081052924656892e-05
2015-02-06,18786.48046875,-0.014017783118366664,0.00019649824355356545
2015-02-09,18403.634765625,-0.020589300423329408,0.00042391929192211255
2015-02-10,18752.28125,0.01876722496607832,0.00035220873292739343
2015-02-11,18940.580078125,0.009991302751564141,9.982613067341319e-05
2015-02-12,19128.376953125,0.00986622240402912,9.734234452576616e-05
2015-02-13,19369.474609375,0.012525416277943655,0.0001568860529357759
2015-02-16,19189.7265625,-0.00932329215553423,8.692377661744611e-05
2015-02-18,19296.275390625,0.005537031384839326,3.06587165566957e-05
2015-02-19,19188.078125,-0.0056229371584726635,3.161742228813263e-05
2015-02-20,19073.328125,-0.005998229301707132,3.597875475585803e-05
