date,close,log_return,realized_var_proxy,asset,category,sector
2015-01-02,71.07618713378906,0.004886168905213877,2.3874646570278975e-05,adanient,high_beta,Conglomerate / Infra
2015-01-02,19057.580078125,0.016258882785734795,0.00026435126944026325,banknifty,index,Banking
2015-01-02,123.25758361816406,0.01301512646673939,0.00016939351694522016,dlf,high_beta,Realty
2015-01-02,624.7303466796875,-0.003301731869206619,1.0901433336134634e-05,hindunilvr,defensive,FMCG
2015-01-02,275.9920654296875,0.0021421229634816146,4.588690790675254e-06,nestleind,defensive,FMCG
2015-01-02,754.6704711914062,0.004913657431656445,2.414402935567261e-05,sunpharma,defensive,Pharma
2015-01-02,28.755146026611328,0.015456752927369284,0.00023891121105773896,tatasteel,high_beta,Metals
2015-01-05,72.25260162353516,0.01641597502624067,0.0002694842360621573,adanient,high_beta,Conglomerate / Infra
2015-01-05,19017.1796875,-0.002122162085111639,4.50357191548538e-06,banknifty,index,Banking
2015-01-05,120.24702453613281,-0.024728176702913714,0.0006114827230505246,dlf,high_beta,Realty
2015-01-05,628.3252563476562,0.005737845187671806,3.292286739768851e-05,hindunilvr,defensive,FMCG
2015-01-05,276.14031982421875,0.0005370248225019162,2.8839565998321455e-07,nestleind,defensive,FMCG
2015-01-05,8378.400390625,-0.0020329035926431203,4.132697016981306e-06,nifty50,index,Broad Market
2015-01-05,755.1271362304688,0.0006049354572347043,3.659469074197608e-07,sunpharma,defensive,Pharma
2015-01-05,29.171676635742188,0.014381516856801214,0.00020682802710245745,tatasteel,high_beta,Metals
2015-01-06,71.70407104492188,-0.007620810111571781,5.80767467566347e-05,adanient,high_beta,Conglomerate / Infra
2015-01-06,18430.53515625,-0.03133395621252254,0.0009818168119282798,banknifty,index,Banking
2015-01-06,118.34323120117188,-0.015959023434558833,0.000254690428984798,dlf,high_beta,Realty
2015-01-06,640.2256469726562,0.01876273109683357,0.0003520400782120855,hindunilvr,defensive,FMCG
2015-01-06,272.2999572753906,-0.014004898906259855,0.00019613719337455848,nestleind,defensive,FMCG
2015-01-06,8127.35009765625,-0.030422082918029548,0.0009255031290714653,nifty50,index,Broad Market
2015-01-06,738.503662109375,-0.022260066623548385,0.0004955105660848128,sunpharma,defensive,Pharma
2015-01-06,27.75755500793457,-0.049690204636292847,0.002469116436796659,tatasteel,high_beta,Metals
2015-01-07,71.06896209716797,-0.00889682208223886,7.9153443163013e-05,adanient,high_beta,Conglomerate / Infra
2015-01-07,18304.037109375,-0.006887165908759215,4.743305425477515e-05,banknifty,index,Banking
2015-01-07,119.1844253540039,0.007082945049759253,5.016811057790911e-05,dlf,high_beta,Realty
2015-01-07,662.7042236328125,0.03450808483554733,0.0011908079190173313,hindunilvr,defensive,FMCG
2015-01-07,273.4399108886719,0.004177650700363834,1.7452765374250436e-05,nestleind,defensive,FMCG
2015-01-07,8102.10009765625,-0.0031116297926513815,9.68223996651568e-06,nifty50,index,Broad Market
2015-01-07,739.6454467773438,0.0015448845968145614,2.38666841747489e-06,sunpharma,defensive,Pharma
2015-01-07,27.22551155090332,-0.019353597285615098,0.0003745617278937681,tatasteel,high_beta,Metals
2015-01-08,73.86927795410156,0.038646314163685004,0.0014935375984382402,adanient,high_beta,Conglomerate / Infra
2015-01-08,18701.18359375,0.021465173054110352,0.00046075365424290513,banknifty,index,Banking
2015-01-08,126.40104675292969,0.05878767663897533,0.0034559909246087255,dlf,high_beta,Realty
2015-01-08,675.224609375,0.018716617706969856,0.0003503117783888575,hindunilvr,defensive,FMCG
2015-01-08,274.6385192871094,0.004373864189118943,1.9130687944857105e-05,nestleind,defensive,FMCG
2015-01-08,8234.599609375,0.01622144246054657,0.0002631351955008231,nifty50,index,Broad Market
2015-01-08,747.8657836914062,0.011052582902583897,0.00012215958881848986,sunpharma,defensive,Pharma
2015-01-08,27.649045944213867,0.015436764251968736,0.0002382936905708599,tatasteel,high_beta,Metals
2015-01-09,73.13311004638672,-0.010015810924774474,0.0001003164684808317,adanient,high_beta,Conglomerate / Infra
2015-01-09,18637.033203125,-0.003436181973791989,1.1807346557013009e-05,banknifty,index,Banking
2015-01-09,122.0622329711914,-0.03492874195714958,0.0012200170147091416,dlf,high_beta,Realty
2015-01-09,714.5206298828125,0.05656647997546919,0.0031997666568151567,hindunilvr,defensive,FMCG
2015-01-09,278.383056640625,0.013542309173894892,0.00018339413776135777,nestleind,defensive,FMCG
2015-01-09,8284.5,0.006041557177687999,3.6500413131273386e-05,nifty50,index,Broad Market
2015-01-09,758.1412963867188,0.013646246806701776,0.0001862200519094184,sunpharma,defensive,Pharma
2015-01-09,27.97807502746582,0.011829946067029015,0.00013994762394881527,tatasteel,high_beta,Metals
2015-01-12,74.27344512939453,0.01547228114018129,0.0002393914836808096,adanient,high_beta,Conglomerate / Infra
2015-01-12,18795.630859375,0.00847380806230481,7.1805423076782e-05,banknifty,index,Banking
2015-01-12,120.8668212890625,-0.009841732061957428,9.68596899793608e-05,dlf,high_beta,Realty
2015-01-12,740.9659423828125,0.03634279241612111,0.00132079856060127,hindunilvr,defensive,FMCG
2015-01-12,281.71331787109375,0.011891883712146169,0.00014141689822320735,nestleind,defensive,FMCG
2015-01-12,8323.0,0.004636467736743234,2.1496833073860928e-05,nifty50,index,Broad Market
2015-01-12,762.936279296875,0.006304739311230507,3.974973778257532e-05,sunpharma,defensive,Pharma
2015-01-12,27.775053024291992,-0.00728292412072232,5.304098374819898e-05,tatasteel,high_beta,Metals
2015-01-13,71.69686889648438,-0.03530641001283724,0.0012465425879945738,adanient,high_beta,Conglomerate / Infra
2015-01-13,18706.982421875,-0.004727596018125373,2.2350164110594886e-05,banknifty,index,Banking
2015-01-13,117.98905181884766,-0.024097449967521327,0.0005806870949371936,dlf,high_beta,Realty
2015-01-13,731.0076904296875,-0.013530682425118082,0.00018307936688939934,hindunilvr,defensive,FMCG
2015-01-13,292.6937561035156,0.038236910849180655,0.0014620613512881893,nestleind,defensive,FMCG
2015-01-13,8299.400390625,-0.0028394966643650508,8.06274130694025e-06,nifty50,index,Broad Market
2015-01-13,760.927001953125,-0.002637085010033599,6.9542173501439065e-06,sunpharma,defensive,Pharma
2015-01-13,27.407522201538086,-0.013320735969677117,0.00017744200677384975,tatasteel,high_beta,Metals
2015-01-14,70.92460632324219,-0.01082964707380874,0.0001172812557432542,adanient,high_beta,Conglomerate / Infra
2015-01-14,18603.583984375,-0.005542596222058748,3.07203728807799e-05,banknifty,index,Banking
2015-01-14,118.07762145996094,0.0007503782218726499,5.630674758607599e-07,dlf,high_beta,Realty
2015-01-14,763.6511840820312,0.043687139453088025,0.0019085661535935604,hindunilvr,defensive,FMCG
2015-01-14,295.623046875,0.009958291057354287,9.916756078298237e-05,nestleind,defensive,FMCG
2015-01-14,8277.5498046875,-0.0026362628028638235,6.949881565763422e-06,nifty50,index,Broad Market
2015-01-14,749.5554809570312,-0.015057090652913696,0.00022671597893006098,sunpharma,defensive,Pharma
2015-01-14,26.381927490234375,-0.038138297652640096,0.001454529747841373,tatasteel,high_beta,Metals
2015-01-15,72.30311584472656,0.019249794217294034,0.00037055457740816684,adanient,high_beta,Conglomerate / Infra
2015-01-15,19235.427734375,0.03339952376298316,0.001115528187594077,banknifty,index,Banking
2015-01-15,130.8726806640625,0.10288273008221353,0.010584856149169606,dlf,high_beta,Realty
2015-01-15,761.585205078125,-0.0027090623881132645,7.339019022689944e-06,hindunilvr,defensive,FMCG
2015-01-15,296.8108825683594,0.0040100244974294146,1.608029646998403e-05,nestleind,defensive,FMCG
2015-01-15,8494.150390625,0.025830729950324278,0.0006672266097665797,nifty50,index,Broad Market
2015-01-15,754.3507690429688,0.006377132001523204,4.0667812564851344e-05,sunpharma,defensive,Pharma
2015-01-15,26.934982299804688,0.020746688020504042,0.00043042506382012596,tatasteel,high_beta,Metals
2015-01-16,72.21651458740234,-0.001198470649709655,1.4363318982154829e-06,adanient,high_beta,Conglomerate / Infra
2015-01-16,19222.927734375,-0.0006500538199214008,4.22569968794405e-07,banknifty,index,Banking
2015-01-16,129.5001678466797,-0.01054277001699406,0.00011114999963122895,dlf,high_beta,Realty
2015-01-16,777.7003784179688,0.020939275103762957,0.00043845324187106717,hindunilvr,defensive,FMCG
2015-01-16,304.4870910644531,0.025533515417830287,0.000651960409592577,nestleind,defensive,FMCG
2015-01-16,8513.7998046875,0.0023106162211340322,5.338947321367715e-06,nifty50,index,Broad Market
2015-01-16,776.1345825195312,0.02846846546443904,0.0008104535258999584,sunpharma,defensive,Pharma
2015-01-16,26.840469360351562,-0.0035150996914590457,1.2355925840895478e-05,tatasteel,high_beta,Metals
2015-01-19,73.08258819580078,0.011921393166990884,0.00014211961504197691,adanient,high_beta,Conglomerate / Infra
2015-01-19,19405.826171875,0.009469619688316631,8.967369704135398e-05,banknifty,index,Banking
2015-01-19,128.70326232910156,-0.006172714648823995,3.810240613580633e-05,dlf,high_beta,Realty
2015-01-19,737.619140625,-0.05291371050993031,0.0027998607599287093,hindunilvr,defensive,FMCG
2015-01-19,308.35577392578125,0.01262553412148433,0.0001594041118527651,nestleind,defensive,FMCG
2015-01-19,8550.7001953125,0.004324820315931695,1.8704070765095524e-05,nifty50,index,Broad Market
2015-01-19,788.2366943359375,0.015472482049890143,0.0002393977007841727,sunpharma,defensive,Pharma
2015-01-19,26.934982299804688,0.0035150996914590383,1.2355925840895426e-05,tatasteel,high_beta,Metals
2015-01-20,73.11145782470703,0.00039494945337872694,1.559850707241552e-07,adanient,high_beta,Conglomerate / Infra
2015-01-20,19766.8203125,0.018431451161048117,0.000339718391902102,banknifty,index,Banking
2015-01-20,128.96888732910156,0.0020617291736337692,4.250727185412585e-06,dlf,high_beta,Realty
2015-01-20,740.0156860351562,0.0032437615414648326,1.0521988937886307e-05,hindunilvr,defensive,FMCG
2015-01-20,308.37969970703125,7.758847118391817e-05,6.0199708606576995e-09,nestleind,defensive,FMCG
2015-01-20,8695.599609375,0.01680393189462208,0.0002823721271190972,nifty50,index,Broad Market
2015-01-20,796.73095703125,0.010718633926299672,0.00011488911324602233,sunpharma,defensive,Pharma
2015-01-20,28.142587661743164,0.0438581051782984,0.0019235333898306847,tatasteel,high_beta,Metals
2015-01-21,73.06094360351562,-0.0006911595172376505,4.777014782681821e-07,adanient,high_beta,Conglomerate / Infra
2015-01-21,19843.01953125,0.0038474941100487747,1.4803210926860012e-05,banknifty,index,Banking
2015-01-21,127.24224853515625,-0.013478453446047192,0.00018166870729726143,dlf,high_beta,Realty
2015-01-21,778.444091796875,0.05062579008703076,0.002562970621936102,hindunilvr,defensive,FMCG
2015-01-21,308.6194763183594,0.0007772348253148396,6.040939736821892e-07,nestleind,defensive,FMCG
2015-01-21,8729.5,0.003890988763950604,1.5139793561189849e-05,nifty50,index,Broad Market
2015-01-21,809.1985473632812,0.015527257936477629,0.0002410957390259075,sunpharma,defensive,Pharma
2015-01-21,27.799560546875,-0.012263791260493002,0.00015040057608094453,tatasteel,high_beta,Metals
2015-01-22,74.8580551147461,0.024299785095001254,0.0005904795556632451,adanient,high_beta,Conglomerate / Infra
2015-01-22,19917.41796875,0.0037423393205770167,1.4005103590336847e-05,banknifty,index,Banking
2015-01-22,131.58103942871094,0.03353019289078488,0.0011242738352932407,dlf,high_beta,Realty
2015-01-22,780.6754760742188,0.0028623664878948013,8.19314191102322e-06,hindunilvr,defensive,FMCG
2015-01-22,309.3626403808594,0.0024051324485421708,5.784662095030458e-06,nestleind,defensive,FMCG
2015-01-22,8761.400390625,0.003647659672542357,1.3305421086691815e-05,nifty50,index,Broad Market
2015-01-22,840.3442993164062,0.03776737785769597,0.0014263748302459837,sunpharma,defensive,Pharma
2015-01-22,28.2406005859375,0.015740466701034017,0.0002477622919663607,tatasteel,high_beta,Metals
2015-01-23,81.38973236083984,0.08365540514035442,0.006998226809196838,adanient,high_beta,Conglomerate / Infra
2015-01-23,20072.466796875,0.007754441203035861,6.0131358371340244e-05,banknifty,index,Banking
2015-01-23,138.7533721923828,0.05307512519879321,0.002816968914867574,dlf,high_beta,Realty
2015-01-23,797.7409057617188,0.021624325340130122,0.0004676114464157937,hindunilvr,defensive,FMCG
2015-01-23,316.3937683105469,0.022473357853609422,0.0005050518132163883,nestleind,defensive,FMCG
2015-01-23,8835.599609375,0.008433216854945564,7.111914652253795e-05,nifty50,index,Broad Market
2015-01-23,846.509521484375,0.007309761573782814,5.343261426555181e-05,sunpharma,defensive,Pharma
2015-01-23,28.2195987701416,-0.0007439512082517051,5.534634002591719e-07,tatasteel,high_beta,Metals
2015-01-27,81.02163696289062,-0.004532884979105753,2.0547046233802565e-05,adanient,high_beta,Conglomerate / Infra
2015-01-27,20555.01171875,0.023755725551025453,0.0005643344964556435,banknifty,index,Banking
2015-01-27,139.81593322753906,0.007628738469678079,5.8197650638746234e-05,dlf,high_beta,Realty
2015-01-27,778.444091796875,-0.024486691828024817,0.0005995980766806574,hindunilvr,defensive,FMCG
2015-01-27,320.3910217285156,0.012554652636338934,0.00015761930281913214,nestleind,defensive,FMCG
2015-01-27,8910.5,0.008441385660836975,7.125699187498408e-05,nifty50,index,Broad Market
2015-01-27,834.8184204101562,-0.013907208955568975,0.0001934104609338579,sunpharma,defensive,Pharma
2015-01-27,27.89056396484375,-0.011728305921741356,0.00013755315979395338,tatasteel,high_beta,Metals
2015-01-28,80.42981719970703,-0.007331273874127326,5.374757661746189e-05,adanient,high_beta,Conglomerate / Infra
2015-01-28,20491.51171875,-0.003094052569624277,9.57316130359859e-06,banknifty,index,Banking
2015-01-28,144.3760986328125,0.03209489593489943,0.0010300823450720238,dlf,high_beta,Realty
2015-01-28,771.7500610351562,-0.008636430936431669,7.458793931975399e-05,hindunilvr,defensive,FMCG
2015-01-28,318.3858337402344,-0.006278231772226832,3.9416194185798473e-05,nestleind,defensive,FMCG
2015-01-28,8914.2998046875,0.0004263503418490414,1.8177461399479448e-07,nifty50,index,Broad Market
2015-01-28,830.9365844726562,-0.004660760979991437,2.172269291261074e-05,sunpharma,defensive,Pharma
2015-01-28,27.38302230834961,-0.018365224911310568,0.0003372814860430223,tatasteel,high_beta,Metals
2015-01-29,84.21170806884766,0.045948994154566825,0.002111310063816416,adanient,high_beta,Conglomerate / Infra
2015-01-29,20528.361328125,0.001796671542377575,3.2280286311894144e-06,banknifty,index,Banking
2015-01-29,147.56381225585938,0.021839016862886675,0.00047694265753744854,dlf,high_beta,Realty
2015-01-29,778.1549682617188,0.008264949871204547,6.830939637352405e-05,hindunilvr,defensive,FMCG
2015-01-29,314.480224609375,-0.012342765620529338,0.00015234386316332097,nestleind,defensive,FMCG
2015-01-29,8952.349609375,0.0042593170470792705,1.8141781707540076e-05,nifty50,index,Broad Market
2015-01-29,840.1160278320312,0.010986531033736925,0.00012070386415526456,sunpharma,defensive,Pharma
2015-01-29,27.330514907836914,-0.0019193574133108688,3.683932880031389e-06,tatasteel,high_beta,Metals
2015-01-30,90.54851531982422,0.0725518256673609,0.005263767407667128,adanient,high_beta,Conglomerate / Infra
2015-01-30,19843.51953125,-0.03392992758690073,0.0011512399860523271,banknifty,index,Banking
