epoch,train_loss,val_loss
0,2.1756383328118623,2.657193660736084
1,2.171762713795985,2.6551990509033203
2,2.1692744974674123,2.6533658504486084
3,2.1665967787496943,2.6518561840057373
4,2.164783956554792,2.6504132747650146
5,2.163329362627459,2.6490426063537598
6,2.161055122862965,2.647935628890991
7,2.1596083510478175,2.645798444747925
8,2.158361786519296,2.6440975666046143
9,2.1571174751188886,2.643435001373291
10,2.156002266653653,2.6430203914642334
11,2.155098518783616,2.642457962036133
12,2.154272436370231,2.6415767669677734
13,2.15315790580204,2.6408708095550537
14,2.1524868562787347,2.6400210857391357
15,2.1516651952484316,2.6399168968200684
16,2.1511136702059734,2.639233112335205
17,2.150202657339781,2.639005661010742
18,2.1493312391257913,2.637655019760132
19,2.148541118503826,2.637053966522217
20,2.1480710675701893,2.6367175579071045
21,2.1474517151018184,2.6363229751586914
22,2.1469230893659303,2.636431932449341
23,2.1462478939950103,2.6358141899108887
24,2.1458314746678724,2.6351864337921143
25,2.1452011264120108,2.6353847980499268
26,2.1447133193393264,2.6355321407318115
27,2.1441556561065735,2.6353209018707275
28,2.143707215906882,2.635423183441162
29,2.143138516505398,2.6354405879974365
30,2.1427775275634704,2.6356260776519775
31,2.142151664043295,2.63541579246521
32,2.141840234005911,2.6355843544006348
33,2.1412155671729036,2.6354331970214844
34,2.140782529877359,2.635329484939575
35,2.1403897741987064,2.6353957653045654
36,2.1399779160172656,2.6354708671569824
37,2.1394685712353936,2.635485887527466
38,2.139177927139081,2.635956048965454
39,2.1387220476026707,2.6359493732452393
