asset,model,target,MAE,RMSE,QLIKE
nifty50,STATIC_INVERSE_RMSE,realized_var_proxy,6.121224176431875e-05,0.00012567506866795623,1.4384544470361982
nifty50,NEURAL_GATED,realized_var_proxy,5.925603088240844e-05,0.00012477121252938637,1.4172612317158486
nifty50,STATIC_INVERSE_RMSE,parkinson_var_proxy,3.762232346461476e-05,4.887761518823851e-05,0.4410119384619709
nifty50,NEURAL_GATED,parkinson_var_proxy,3.4803028123711414e-05,4.642748930501994e-05,0.4099132678033089
banknifty,STATIC_INVERSE_RMSE,realized_var_proxy,7.259573998377486e-05,0.00012399615565893805,1.3832371889667465
banknifty,NEURAL_GATED,realized_var_proxy,7.297504389037416e-05,0.00012412768606172913,1.389533547322604
banknifty,STATIC_INVERSE_RMSE,parkinson_var_proxy,4.479594022819163e-05,5.551536216916237e-05,0.38352878649339683
banknifty,NEURAL_GATED,parkinson_var_proxy,4.5197014981859714e-05,5.563850006712668e-05,0.38975321709009514
adanient,STATIC_INVERSE_RMSE,realized_var_proxy,0.0006219908663071968,0.0007975220461599006,1.8306675967825652
adanient,NEURAL_GATED,realized_var_proxy,0.0006297662144942452,0.0007985947754876575,1.8382957782644012
adanient,STATIC_INVERSE_RMSE,parkinson_var_proxy,0.0004637764699346594,0.0005298263691306372,0.7345711015423767
adanient,NEURAL_GATED,parkinson_var_proxy,0.00047261465883489007,0.0005386709905388144,0.745805829061761
tatasteel,STATIC_INVERSE_RMSE,realized_var_proxy,0.00041230519832290553,0.0008007913717608674,1.7479838348170664
tatasteel,NEURAL_GATED,realized_var_proxy,0.000391181094296712,0.000800115251675572,1.7635354980864768
tatasteel,STATIC_INVERSE_RMSE,parkinson_var_proxy,0.0002456580358373368,0.0003186441516350779,0.5881642599522571
tatasteel,NEURAL_GATED,parkinson_var_proxy,0.0002208459069805126,0.0003076501946671669,0.5536075878453497
dlf,STATIC_INVERSE_RMSE,realized_var_proxy,0.0005355028907888533,0.0007560933412573298,1.7340216185837227
dlf,NEURAL_GATED,realized_var_proxy,0.0005141053555268224,0.000746682794393743,1.6989756550918165
dlf,STATIC_INVERSE_RMSE,parkinson_var_proxy,0.00037462210505000485,0.00041700078074933134,0.6317519176566155
dlf,NEURAL_GATED,parkinson_var_proxy,0.0003487533367024439,0.000396518497991948,0.5914474053677211
hindunilvr,STATIC_INVERSE_RMSE,realized_var_proxy,0.00016688824153420176,0.00030336549336564873,1.7198044522967482
hindunilvr,NEURAL_GATED,realized_var_proxy,0.00016514251529614892,0.00030335638249194113,1.726525294347095
hindunilvr,STATIC_INVERSE_RMSE,parkinson_var_proxy,0.00012452432351749298,0.00023612619060357364,0.594404653492579
hindunilvr,NEURAL_GATED,parkinson_var_proxy,0.00012299307182487933,0.00023595236313578717,0.5959082663946983
nestleind,STATIC_INVERSE_RMSE,realized_var_proxy,0.00018222407314020375,0.0003444140485346933,1.840049024204936
nestleind,NEURAL_GATED,realized_var_proxy,0.00017703927933485896,0.00034431334842550417,1.8468043370122815
nestleind,STATIC_INVERSE_RMSE,parkinson_var_proxy,0.0001241752247563569,0.00023222585472014537,0.4766658105850211
nestleind,NEURAL_GATED,parkinson_var_proxy,0.00012001999532702598,0.00023378392498909294,0.49397134872737625
sunpharma,STATIC_INVERSE_RMSE,realized_var_proxy,0.0002429464889437365,0.00031638542944197544,1.7118980618383026
sunpharma,NEURAL_GATED,realized_var_proxy,0.00019179455300314863,0.0002977202460264719,1.6429604414691172
sunpharma,STATIC_INVERSE_RMSE,parkinson_var_proxy,0.00017533876796242565,0.00021709178607164374,0.5454769807473012
sunpharma,NEURAL_GATED,parkinson_var_proxy,0.0001215974101895235,0.00019127321293304974,0.4473975234152129
