Asset,Train rows,Validation rows,Test rows,Best epoch,Train QLIKE,Validation QLIKE,Test MAE,Test RMSE,Test QLIKE
nifty50,493,246,248,11,1.280962347984314,2.0247461795806885,5.925603089324077e-05,0.00012477121242415853,1.4172612295876403
banknifty,493,246,247,0,1.472855806350708,1.889835238456726,7.297504371381394e-05,0.00012412768582432086,1.3895335452338862
adanient,493,246,248,24,2.1453819274902344,2.6351864337921143,0.0006297662132528075,0.0007985947738169119,1.8382957771463289
tatasteel,493,246,248,109,1.8763130903244019,1.850630521774292,0.0003911810942868811,0.0008001152510874513,1.7635354958992564
dlf,493,246,248,4,1.6245025396347046,1.6560723781585693,0.0005141053562668523,0.0007466827942994857,1.698975655044143
hindunilvr,493,246,248,0,1.5251924991607666,2.062128782272339,0.00016514251518258947,0.00030335638264611023,1.7265252971795237
nestleind,493,246,248,96,1.6735666990280151,1.4373979568481445,0.0001770392794384058,0.00034431334828460364,1.846804336219081
sunpharma,493,246,248,73,1.5364753007888794,1.6015959978103638,0.0001917945527671776,0.00029772024538702994,1.6429604343305728
