epoch,train_loss,val_loss
0,1.7382744780418597,1.7059202194213867
1,1.7272302666735697,1.6983084678649902
2,1.7144642930485414,1.690289855003357
3,1.7003681185762973,1.6810173988342285
4,1.683463371791414,1.6705195903778076
5,1.6627048889957141,1.6602481603622437
6,1.642809572616407,1.6500368118286133
7,1.6217254247916881,1.6427576541900635
8,1.6044805318298494,1.6379508972167969
9,1.592569757668532,1.6341552734375
10,1.5825841973326027,1.6317079067230225
11,1.576928925562582,1.629561185836792
12,1.573003750785611,1.6282426118850708
13,1.5698504336707249,1.62661612033844
14,1.5677606413862526,1.6251912117004395
15,1.5662125433676142,1.6233783960342407
16,1.5647371185236965,1.6232914924621582
17,1.5635177494304418,1.6221522092819214
18,1.5626423571704608,1.6214380264282227
19,1.5616872987689159,1.6201097965240479
20,1.5608472848277064,1.620117425918579
21,1.560194350401238,1.6190955638885498
22,1.5590026564820543,1.6186697483062744
23,1.5583559644633327,1.6176239252090454
24,1.5576172506108004,1.6170461177825928
25,1.5570550337282687,1.6160163879394531
26,1.5563869038653422,1.6155349016189575
27,1.5558257815078596,1.6148582696914673
28,1.55520915453139,1.614173173904419
29,1.5546957169778448,1.6135869026184082
30,1.5541433357080146,1.6131571531295776
31,1.5537030222933383,1.6127386093139648
32,1.553030755529539,1.6120306253433228
33,1.5525521392996364,1.6114239692687988
34,1.552039134333148,1.6111254692077637
35,1.5516136459114585,1.6109793186187744
36,1.5511133846114664,1.6108111143112183
37,1.5506311667134747,1.6102632284164429
38,1.5502156536671017,1.6095499992370605
39,1.549805155874024,1.6092959642410278
40,1.549177942846658,1.6089341640472412
41,1.5488091835385647,1.6087586879730225
42,1.5483754764464033,1.6086028814315796
43,1.5480661493769523,1.6081576347351074
44,1.547626690738825,1.6079403162002563
45,1.5472261054520675,1.6073328256607056
46,1.5467292377479662,1.6068651676177979
47,1.5463740279176414,1.6069029569625854
48,1.5459376283398023,1.6069742441177368
49,1.5455525448549592,1.6061745882034302
50,1.5448736958281264,1.605987787246704
51,1.5445953588214898,1.6055245399475098
52,1.544437253209205,1.6047005653381348
53,1.5437275294599861,1.6040374040603638
54,1.5433703000840502,1.6036702394485474
55,1.5429845182697381,1.6039276123046875
56,1.5427464611873665,1.6037178039550781
57,1.5422465104843974,1.603720784187317
58,1.5419043790979754,1.6039401292800903
59,1.5417050507682817,1.6038804054260254
60,1.5413682238325386,1.6032732725143433
61,1.5408457595001128,1.6028780937194824
62,1.5405193809079833,1.60294771194458
63,1.5403271214715366,1.6031467914581299
64,1.5399164046041864,1.603073000907898
65,1.5395436609734385,1.6029192209243774
66,1.5392202733738185,1.6029714345932007
67,1.5389198096238574,1.6028276681900024
68,1.5388867023266837,1.6022439002990723
69,1.538227245000023,1.6022428274154663
70,1.5380373167943278,1.602886438369751
71,1.5374538881541748,1.6023069620132446
72,1.5372319306127924,1.6018967628479004
73,1.5368294011023176,1.6015959978103638
74,1.5367138148804949,1.6019842624664307
75,1.5362259981356576,1.6019420623779297
76,1.5359340446715906,1.6024227142333984
77,1.5357269965127323,1.601719856262207
78,1.5354024561133395,1.6020407676696777
79,1.5350462583934559,1.602555274963379
80,1.5346905769247554,1.6024127006530762
81,1.5343366031956238,1.6022846698760986
82,1.534201388184971,1.6020368337631226
83,1.5337603802492363,1.6026619672775269
84,1.5335552237822125,1.602708339691162
85,1.5332586685494043,1.6023236513137817
86,1.5328299438252169,1.6025710105895996
87,1.5325185411116655,1.6024413108825684
88,1.5323297909742437,1.6029369831085205
