date,ewma_rmse_60,garch_rmse_60,egarch_rmse_60,gjr_garch_rmse_60,realized_vol_5,realized_vol_20,realized_vol_60,vol_of_vol_30,return_sign_lag1
2022-01-03,0.00014893209886957692,0.00014882491436173393,0.0001474760046791549,0.00015054899225033034,0.005897350552659563,0.010232490744276535,0.009768813052634153,0.003472707042992206,0
2022-01-04,0.00014993695311556662,0.00015009972943089194,0.00014857381382843519,0.00015168720682253218,0.00885112265591447,0.010141807294944155,0.009889553590735333,0.0034906538697053384,0
2022-01-05,0.00014991481801299633,0.0001500992421286571,0.00014858934036229967,0.0001517122081347783,0.009176601902812337,0.009795707361497189,0.009920137157093561,0.003503403940872351,0
2022-01-06,0.00015010109759912518,0.00015022517508756343,0.0001486270031488794,0.00015173433669430326,0.009642263200335304,0.009159828072301248,0.009929026354340108,0.0035088122194217477,0
2022-01-07,0.00015001777872974156,0.00015006252784409007,0.00014858377264877982,0.00015168933235038375,0.010636456138888136,0.009412542312239114,0.010006858680066427,0.003508359039930067,1
2022-01-10,0.00015035624777896085,0.00015029412299945392,0.00014880023867326346,0.00015183770925322884,0.010043138168955475,0.009449694722448295,0.010013154434441356,0.0033412487787525405,0
2022-01-11,0.0001502556600576105,0.00015026282688641702,0.00014874545320145603,0.0001518225291403983,0.008675962317306479,0.009570620296300571,0.010033979274157981,0.0032972898916740034,0
2022-01-12,0.0001505550290679256,0.00015057837565203276,0.00014881746145316724,0.00015188649105082552,0.007511314952888628,0.009576411181402133,0.009962810347989915,0.003271258803929198,0
2022-01-13,0.0001505665803656728,0.00015058033211511607,0.00014880094509769852,0.00015188076446904066,0.007893759103222925,0.009676840668944826,0.009977825578832086,0.003192479961559927,0
2022-01-14,0.0001508774305562941,0.0001507489572744703,0.00014893740270914882,0.00015198721922239246,0.006582560573065297,0.009686545658058198,0.009974672388040472,0.003078443567040953,0
2022-01-17,0.00015125113045675462,0.00015106498342723216,0.0001490636314156308,0.0001521130080357682,0.0063647028138019346,0.009055775614321885,0.009917032532799358,0.003137698005449495,1
2022-01-18,0.00015150578360068745,0.00015119102925996366,0.000149132303253118,0.0001521789693967019,0.0044150439516373536,0.007617775762220038,0.009904093527602945,0.0032359606954756987,0
2022-01-19,0.00015152531830674786,0.00015121148352168986,0.00014928086223481627,0.00015232526090654016,0.0063831433724236475,0.0077047483778222865,0.00999004253465288,0.0031618463213261795,1
2022-01-20,0.00015143392153576341,0.00015107494882363163,0.00014914916598290632,0.00015222308780887359,0.006678685369089657,0.007620048164230185,0.010067769093219688,0.00298159383637503,1
2022-01-21,0.00015144296747098118,0.00015111739414297977,0.00014916968701798145,0.0001522468734006111,0.008001451075353877,0.007801270626008156,0.010102100972553294,0.0028297761183795947,1
2022-01-24,0.00015140236210469863,0.00015102459864552284,0.0001491613890945845,0.00015221907005236505,0.008747832949861036,0.007947914680096552,0.010145397042493762,0.0027197840105697047,1
2022-01-25,0.00016701583300226784,0.00016719239076873284,0.0001634096904001711,0.00016700342496396318,0.014829012977111944,0.009912201235997085,0.010421238625936871,0.002925708141507556,1
2022-01-27,0.00016709484706209715,0.00016754110775014114,0.00016432605619038916,0.00016823219376124217,0.0144278007503295,0.009868331021610388,0.010378668376171343,0.0031133277091002108,0
2022-01-28,0.00016604802804989646,0.00016687794813953507,0.00016412035336685422,0.00016828451848843677,0.01443725655592453,0.010103512848573179,0.010286049042481392,0.003185165321768264,1
2022-01-31,0.00016646009348290106,0.0001672440479185968,0.00016531713532996452,0.00016949800986635916,0.013704723295427079,0.010103303454911026,0.010282050141752262,0.0031809952271861356,1
2022-02-01,0.00016664887988294348,0.0001672022165661187,0.0001649816525509436,0.00016913280390440757,0.014611145791977956,0.010384895628530146,0.010426640656940236,0.003311645411114558,0
2022-02-02,0.00016682700127231153,0.00016720902211195127,0.000164794510514431,0.000168946953166936,0.010262982566936626,0.010246869915623152,0.010553954821790714,0.0032725386945026925,0
2022-02-03,0.00016683644573876584,0.00016720667879869218,0.00016478202454703894,0.00016893820505832063,0.010978785378304337,0.010318182186176035,0.01060195000852442,0.0032177733751612893,0
2022-02-04,0.0001667181822798947,0.00016694578815025946,0.00016453729569812064,0.00016869418376364226,0.011507934457180236,0.010580444264908598,0.0107214780520795,0.0031439887969783448,1
2022-02-07,0.00016719069198796598,0.00016748167107823674,0.0001652290810738802,0.00016932791335666148,0.011560259470912642,0.010353892536727463,0.010724597729279103,0.0030514810583848434,1
2022-02-08,0.00016900393154880276,0.00016919316548041585,0.0001666604072715075,0.00017085291172090142,0.012499828492292139,0.011031379298594603,0.010909374662467594,0.0030576070306095253,1
2022-02-09,0.0001691002740510043,0.00016953475905392314,0.00016774622767681675,0.00017170870158338388,0.011013103850304974,0.01079362666758828,0.010792039284107635,0.003056092123765554,0
2022-02-10,0.00016891184000151908,0.00016924496023911916,0.00016749851790367185,0.00017150791574871907,0.010983193728092401,0.011068764911404995,0.010890910689314234,0.0030455926537107797,0
2022-02-11,0.0001690222126202407,0.0001693561382738452,0.00016773374355504372,0.00017172206217258267,0.010139455634339134,0.011048533060460627,0.01091257065202633,0.0029576868169672505,0
2022-02-14,0.00016916440109025858,0.0001694530081751444,0.0001677473589138876,0.00017178917762331533,0.011682179591299517,0.011423173584360256,0.011021387427602834,0.002827338227703023,1
