date,ewma_rmse_60,garch_rmse_60,egarch_rmse_60,gjr_garch_rmse_60,realized_vol_5,realized_vol_20,realized_vol_60,vol_of_vol_30,return_sign_lag1
2022-01-03,0.00029105883516329265,0.00029312263021491095,0.00029622807487994014,0.00030005553448944866,0.006358750688709393,0.013175874814109761,0.012570257246579323,0.005145088700991466,0
2022-01-04,0.0002989026644704895,0.0003009645148193134,0.00030331961519437957,0.00030669284683649243,0.013062532864904448,0.014127272766773771,0.01299401511378801,0.0051382147362294146,0
2022-01-05,0.00029893121517475367,0.00030100339020668,0.0003032555559053096,0.0003067161248749848,0.013933184174112797,0.013279400410958517,0.013053194726617638,0.0051345360479649205,0
2022-01-06,0.000302041768757556,0.0003037922520688977,0.0003065577140448832,0.00030980113911559736,0.01721881544587323,0.013654656153434343,0.013385388209611972,0.005171726452588554,0
2022-01-07,0.0003025399490940074,0.00030459247864956515,0.00030680670079484475,0.00031009100696640984,0.017390194258589977,0.0136552804763136,0.013287940080827081,0.005196552115722745,1
2022-01-10,0.00030309011184297954,0.0003052234063185095,0.00030712404737679794,0.000310449256215712,0.016825800347263088,0.013734788514319434,0.013293457098497453,0.005116863911709918,0
2022-01-11,0.0003030920597725708,0.00030512395251687893,0.0003072655929754496,0.00031057880115836826,0.014051457239142284,0.014150630713459629,0.013447342227562333,0.0050840765767617944,0
2022-01-12,0.00030226537050109575,0.0003046065186721922,0.0003061112991979313,0.00030943912119736427,0.013136817186818807,0.01416001449832563,0.013246865289455666,0.005040852217052763,0
2022-01-13,0.000302674781619173,0.00030501681760039534,0.0003062823942467753,0.0003096425808056844,0.008834794419753472,0.014242161615316785,0.013233610040919557,0.0049937432968765365,0
2022-01-14,0.000302947949555044,0.0003051948987122087,0.00030635018809465595,0.0003097480522713044,0.008998689799616738,0.014244581542840045,0.013253286276934288,0.004916814094069275,1
2022-01-17,0.00030341804716321367,0.0003055489201181641,0.00030660320979655596,0.00031001201833335857,0.008574967308919766,0.013039427180683613,0.013257307133387488,0.004948878424992163,1
2022-01-18,0.0003037319916979918,0.0003058882933945923,0.0003066728742563084,0.0003100782268594103,0.005063698762798915,0.010686689363148988,0.01316300769322815,0.005131064707338901,1
2022-01-19,0.0003042805013444829,0.0003063246696128406,0.00030706253821425564,0.0003104386764955388,0.004943606709703242,0.010631205376852694,0.013129205423262565,0.005266330557032154,1
2022-01-20,0.00030086321578473476,0.0003032327948127915,0.00030321665066545563,0.0003066652936710609,0.004174690549187962,0.01032820100530336,0.012850320558765178,0.005412452189079474,1
2022-01-21,0.00030086210401741886,0.00030296245044745895,0.0003032685842988212,0.00030668904686403253,0.003682500588395565,0.010337896588388698,0.012865851310234266,0.0055489062834392115,1
2022-01-24,0.0003009832164740048,0.0003029902008164622,0.0003033536690917071,0.00030675450953792987,0.004793013538265711,0.010247491287800174,0.012849772866304017,0.005622102806859126,1
2022-01-25,0.00026915328810719604,0.0002730883704284755,0.0002705795775289651,0.00027458822355329207,0.008735938877524519,0.01084009788496359,0.012271651112054213,0.005603790800569438,1
2022-01-27,0.00027154026472560826,0.00027518534637717884,0.0002724702462394272,0.00027644086619288676,0.012611635724693405,0.011728194553960887,0.012482786710898518,0.005601604645686097,0
2022-01-28,0.00027141789051854696,0.0002753783264483132,0.00027257810815605875,0.00027657916249895114,0.012872986225377553,0.011807656555584908,0.012336970787345214,0.005440028473131004,0
2022-01-31,0.0002709682019250397,0.0002744347803903767,0.0002719618314835494,0.0002755929218982402,0.01313935634071301,0.011933134228828893,0.012364385677482955,0.005275666316525443,1
2022-02-01,0.00027113428888442606,0.00027462992210000917,0.0002722087407686834,0.000275735260694726,0.013164867389285479,0.011757171575579647,0.012279371968953665,0.00528356856749388,0
2022-02-02,0.00027066036207845683,0.0002737786401157352,0.00027138617066999407,0.000274830217016144,0.01245654440114853,0.010660284027565171,0.012396428889648332,0.005081451030251163,0
2022-02-03,0.00027312289312130005,0.00027582619591658353,0.00027363014103806715,0.00027719789093573255,0.012739928885494535,0.011383918006995019,0.012687225010587444,0.004856301796204331,0
2022-02-04,0.0002727715188187569,0.000275344261533286,0.00027296507017318845,0.00027635054996917943,0.012849434638740042,0.010323557750538318,0.012729089875652912,0.004563848785988755,1
