date,log_return,realized_var_proxy,parkinson_var_proxy,ewma_variance,ewma_volatility,garch_variance,garch_volatility,egarch_variance,egarch_volatility,gjr_garch_variance,gjr_garch_volatility
2015-01-02,0.0130152502626768,0.0001693967394001,0.0002489934723691,0.0009051659740064578,0.030085976367843836,0.0009490214154871588,0.030806191187603162,0.0009564982833143558,0.030927306434837737,0.000951032578771371,0.03083881610521667
2015-01-05,-0.0247284273942158,0.000611495121391,0.0001418516070039,0.0008610198199300768,0.029343139231003842,0.0008603953287733182,0.029332496122446147,0.0008564177707588133,0.029264616361039372,0.0008576959215140659,0.029286446037613816
2015-01-06,-0.015958767602474,0.0002546822633897,0.000212581253054,0.0008460483380177324,0.02908691008027034,0.0008429851726600577,0.029034206940435927,0.0009762713380348762,0.031245341061266658,0.0008884725723473824,0.029807257041656526
2015-01-07,0.0070829441397342,5.016809768659566e-05,0.000693728369284,0.0008105663735400548,0.02847044737161773,0.0007960968804854524,0.028215188825975495,0.001003098703212201,0.031671733505007287,0.0008520641936696538,0.029190138637383237
2015-01-08,0.0587874278950047,0.0034559616785103,0.0012934610092666,0.0007649424769888471,0.027657593477901275,0.0007439322546785275,0.027275121533707737,0.0008960794051489875,0.029934585434727295,0.0007845472024990735,0.028009769768762356
2015-01-09,-0.0349288712564533,0.0012200260472498,0.0023780091725978,0.000926403629080139,0.030436879424148248,0.0010418761481233534,0.03227810632802602,0.0007834900201043018,0.027990891734710806,0.0007814259785772753,0.027953997541984497
2015-01-12,-0.0098413558007402,9.68522839967632e-05,0.0001673048948954,0.000944020974170324,0.030724924315127678,0.0010269544870437808,0.03204613060954131,0.0010028266976806334,0.03166743907676516,0.0009333728388299518,0.030551151186656647
2015-01-13,-0.0240975762121593,0.0005806931793008,0.0005259816697721,0.0008931908527599103,0.029886298746414054,0.0009066862398236037,0.030111231124343017,0.0009751032211025675,0.03122664280870692,0.0008585783404673938,0.02930150747772875
2015-01-14,0.0007503782218726,5.630674758607599e-07,0.0001312568365834,0.0008744409923523652,0.029570948452025767,0.0008716851336448714,0.029524314278995056,0.0010717034727890278,0.0327368824537253,0.0008840468221073346,0.029732924883154946
2015-01-15,0.1028824968969412,0.0105848081677491,0.0029609009994471,0.0008220083168597749,0.028670687415194195,0.0007908640473617746,0.02812230515732618,0.000952825877865173,0.030867877767432814,0.0008070035775110499,0.02840780838979047
2015-01-16,-0.0105423011750809,0.0001111401140661,0.0011473227742948,0.0014077763079131359,0.03752034525311749,0.0017724894803344043,0.042100943936382286,0.0008026073517412714,0.02833032565540452,0.0008932973896277948,0.029888081062988885
2015-01-19,-0.0061730688633761,3.8106779191983936e-05,0.0004941879095104,0.0013299781362823143,0.03646886530017508,0.0014189151208097602,0.03766848976013984,0.0008172231184332808,0.028587114552421706,0.0008319546383878597,0.02884362387752031
2015-01-20,0.0020617294178163,4.25072819228916e-06,0.0003761497616237,0.0012524658548568944,0.0353901943320024,0.001169495933504475,0.03419789369982419,0.0007973466580695553,0.02823732738892892,0.0007756005446922195,0.027849605826514304
2015-01-21,-0.0134785150111394,0.0001816703669055,0.0004413669198184,0.001177572947257018,0.03431578277202806,0.0009952806914313007,0.03154806953573072,0.0007372075670664911,0.027151566567446734,0.0007286517897840948,0.02699355089246494
2015-01-22,0.0335304887345523,0.0011242936747779,0.0007322761899743,0.0011178187924359274,0.03343379715850306,0.0008932939890956604,0.029888024175171907,0.000784054844440077,0.02800097934787419,0.0007245189106786629,0.026916888948737425
2015-01-23,0.0530750092338468,0.0028169566051729,0.0012564739510222,0.0011182072853764481,0.03343960653740483,0.0009157688138527181,0.030261672357170186,0.0007095077795139429,0.026636587234740546,0.0007067481739106918,0.026584735731443557
2015-01-27,0.007628738469678,5.8197650638746234e-05,0.0004294954721851,0.0012201322445642368,0.03493039141727783,0.0010970086848324481,0.03312112143077961,0.0006399818017298413,0.025297861603895324,0.0007166086239091061,0.026769546576457103
2015-01-28,0.0320950016226717,0.0010300891291593,0.001396537651463,0.0011504161689287072,0.03391778543668067,0.000950899060489496,0.030836651252843524,0.0006067295626100138,0.024631881020539495,0.0006867272895019638,0.026205482050555066
2015-01-29,0.021838704365729,0.0004769290083737,0.0007556560564661,0.0011431965465425427,0.03381118966470335,0.000946009123827051,0.030757261318704092,0.0005672554910143933,0.023817126002404095,0.000678162918482929,0.026041561367992683
2015-01-30,0.0193142959544271,0.0003730420282151,0.0010401554421979,0.001103220494252413,0.03321476319729546,0.0008884621577808141,0.029807082342638205,0.0005396097893144771,0.023229502562785907,0.0006645504215129854,0.025778875489690885
2015-02-02,0.0177926806759265,0.0003165794856354,0.0004806585321369,0.00105940978629018,0.03254857579511245,0.0008388534305753858,0.028962966536171423,0.000517745581013315,0.022754023402759237,0.0006533155750051659,0.025560038634657146
2015-02-03,-0.0166162149607216,0.0002760985996209,0.0006968902060145,0.0010148399682508985,0.03185655298758638,0.0007993303217514695,0.028272430418191316,0.0005000922695070488,0.02236274288872116,0.0006444358708189943,0.025385741486491867
