date,log_return,realized_var_proxy,parkinson_var_proxy,ewma_variance,ewma_volatility,garch_variance,garch_volatility,egarch_variance,egarch_volatility,gjr_garch_variance,gjr_garch_volatility
2015-01-05,-0.0020329035926431,4.132697016981306e-06,3.408062845343358e-05,0.00012507772274452346,0.01118381521416209,0.00013350975441826264,0.011554642115542248,0.0001332703106701407,0.011544276099874809,0.0001330822345247449,0.011536127362540035
2015-01-06,-0.0304220829180295,0.0009255031290714,0.0002502518281229,0.00011782102120087093,0.010854539197997809,0.0001199032522343831,0.010950034348548094,0.00012416160729279886,0.011142782744575022,0.00012118209324125084,0.011008273853845153
2015-01-07,-0.0031116297926513,9.68223996651568e-06,4.033932100874035e-05,0.00016628194767310644,0.012895035776340694,0.00020104553414880587,0.014179052653432311,0.00022535426972744896,0.015011804346162021,0.0002723797971014268,0.01650393277680889
2015-01-08,0.0162214424605465,0.0002631351955008,3.1105232739521883e-05,0.00015688596521071097,0.012525412776060955,0.00017961046463828336,0.01340188287660668,0.00020832231161664838,0.014433374921225055,0.0002448485286740733,0.015647636520384582
2015-01-09,0.0060415571776879,3.6500413131273386e-05,6.711750863291995e-05,0.00016326091902811756,0.01277735962662543,0.00018643679676254318,0.013654186052729148,0.00018656931214566065,0.013659037745963682,0.00021890011067172743,0.014795273254378488
2015-01-12,0.0046364677367432,2.1496833073860928e-05,3.973253819127393e-05,0.00015565528867430683,0.012476188868172316,0.00016952501833072907,0.013020177354042805,0.00016563860518957173,0.012870066246510612,0.00019604486976458342,0.014001602399889214
2015-01-13,-0.002839496664365,8.06274130694025e-06,4.1116834911104e-05,0.00014760578133828003,0.01214931196974874,0.00015319860030520814,0.012377342214918683,0.0001473729575354575,0.012139726419300292,0.00017591408426799376,0.013263260695168205
2015-01-14,-0.0026362628028638,6.949881565763422e-06,4.240826990436687e-05,0.00013923319893639963,0.011799711815819895,0.00013754334982574181,0.011727887696671631,0.00013895768663568228,0.01178803149960511,0.00015959781130716656,0.012633202733557574
2015-01-15,0.0258307299503242,0.0006672266097665,0.0001083927691462,0.00013129619989416143,0.01145845538867091,0.00012372034398342832,0.011122964711956444,0.0001309063394779712,0.011441430831761,0.00014503123585372102,0.012042891507180534
2015-01-16,0.002310616221134,5.338947321367715e-06,3.0824157791654324e-05,0.00016345202448650632,0.012784835723876405,0.00017830249045375316,0.013352995561062437,0.00012130567642812988,0.011013885618987055,0.00013098152261303102,0.011444715925396795
2015-01-19,0.0043248203159316,1.8704070765095524e-05,7.67640228649727e-06,0.00015396523985659798,0.012408273040862616,0.0001592538134660918,0.012619580558247244,0.00010866225883731082,0.010424119091669608,0.00011860660321796525,0.010890665875783962
2015-01-20,0.016803931894622,0.000282372127119,8.596028910959854e-05,0.00014584956971110778,0.012076819519687615,0.00014392118108496477,0.011996715429023261,9.801640353122511e-05,0.00990032340538556,0.00010770683415067987,0.010378190311932031
2015-01-21,0.0038909887639506,1.5139793561189847e-05,1.2962320033208265e-05,0.000154040923155587,0.012411322377393435,0.0001571236532387118,0.012534897416361723,9.072396932046735e-05,0.009524913087292048,9.810637035494944e-05,0.009904865993790599
2015-01-22,0.0036476596725423,1.3305421086691815e-05,1.047162393294769e-05,0.00014570685537992317,0.012070909467804121,0.00014169562952460064,0.011903597335452869,8.227463514321601e-05,0.009070536651335245,8.96503283336799e-05,0.00946838573008514
2015-01-23,0.0084332168549455,7.111914652253795e-05,2.331449171534696e-05,0.00013776276932232924,0.011737238573119712,0.00012799875213127422,0.011313653350322972,7.482500012910826e-05,0.008650144514926225,8.220228747646938e-05,0.009066547715446568
2015-01-27,0.0084413856608369,7.125699187498408e-05,4.5423201765868426e-05,0.00013376415195434172,0.011565645332377339,0.00012184245559617308,0.011038227013255937,6.894040627180731e-05,0.00830303596715125,7.5642089164281e-05,0.008697246067824056
2015-01-28,0.000426350341849,1.817746139947945e-07,5.573301812751101e-05,0.00013001372234958017,0.011402355999949315,0.00011646479638414116,0.010791885673233439,6.372336620774136e-05,0.007982691664328603,6.98638982639413e-05,0.008358462673478976
2015-01-29,0.0042593170470792,1.8141781707540076e-05,5.042764676987124e-05,0.00012222380548544502,0.011055487573392909,0.00010457651874705918,0.01022626611951103,5.8044638571701426e-05,0.007618703208007346,6.477449570233999e-05,0.008048260414669743
2015-01-30,-0.0161534056387028,0.0002609325137284,0.000224134685798,0.0001159788840587707,0.010769349286691871,9.597892877995486e-05,0.009796883625926914,5.34977790828196e-05,0.00731421759881531,6.02917745761373e-05,0.007764777818852082
2015-02-02,-0.0013063506955069,1.7065521396515043e-06,3.750968159398243e-05,0.00012467610183895298,0.01116584532576701,0.00011297122388688281,0.010628792212047558,8.695963337141459e-05,0.00932521492360442,0.00010213106211978774,0.010105991397175624
2015-02-03,-0.0046542982322204,2.166249203445063e-05,5.7258487650428474e-05,0.00011729792885699489,0.010830416836714776,0.00010167090922331379,0.01008319935453593,8.130485990071073e-05,0.009016920754931294,9.349471794366002e-05,0.009669266670418187
