epoch,train_loss,val_loss
0,1.291831072155409,2.0273969173431396
1,1.2907686782415209,2.0273218154907227
2,1.2900020280667783,2.0271828174591064
3,1.289105018181443,2.0262932777404785
4,1.288297715462729,2.0264625549316406
5,1.2874036971744127,2.0260610580444336
6,1.2864691335821248,2.0265378952026367
7,1.2855433090221569,2.02585768699646
8,1.284465815667932,2.0256550312042236
9,1.2835641947044079,2.0248119831085205
10,1.282696552257267,2.0247843265533447
11,1.2816393021154113,2.0247461795806885
12,1.280725961282819,2.0250799655914307
13,1.2799489826991641,2.025117874145508
14,1.2791374184297015,2.0251200199127197
15,1.278519485833437,2.025736093521118
16,1.2778039834562227,2.0267062187194824
17,1.2772654826936083,2.0276482105255127
18,1.2767605517988998,2.028672456741333
19,1.2761922015621503,2.0298233032226562
20,1.275791818423397,2.030768871307373
21,1.2753107496981204,2.031919002532959
22,1.2749168872833252,2.033165454864502
23,1.2746231091675362,2.0342962741851807
24,1.2741237366175313,2.0358526706695557
25,1.2737608577368467,2.037385940551758
26,1.2734338134587657,2.0383684635162354
