epoch,train_loss,val_loss
0,1.5262427991350573,2.062128782272339
1,1.5250617202832297,2.0659079551696777
2,1.524704555710721,2.0708541870117188
3,1.5242907178813014,2.074636220932007
4,1.5238716350849453,2.075965404510498
5,1.5236371442464012,2.0781753063201904
6,1.5231768731896824,2.081667184829712
7,1.5229124171738693,2.0875256061553955
8,1.5224503752667813,2.093169927597046
9,1.522072276769255,2.095576047897339
10,1.5218425000173326,2.0982117652893066
11,1.521467000427401,2.103139877319336
12,1.5213613481115376,2.10933256149292
13,1.521206443256587,2.1126620769500732
14,1.5208284941938295,2.1126482486724854
15,1.5207019212521597,2.1149909496307373
